round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25892.642,0.0,26014.768399999997,0.0,3839.8239999999973,,0.0,1995.4,1844.4239999999972,0.0,1844.4239999999972,0.0,0.00375,0.0,11820.0036,0.0,1.0,3940.0011999999997,7779.825199999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.3421176470588225,2.0177818811274513,9.359899528186274,1.9742794117647056,2.1080735294117647,4.08235294117647,1203.9959999999974,0.0,1203.9959999999974,0.0,0,0,0.0,0.0,48.932,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,0,1996.576,529.2139999999999,1996.576,100.17719999999991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,6.664,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,78.0,160.0,2048.0,734.0,204.0,328,0,0,0,49,29.0,2048.0,18165.992000000002,1525.5788,4131.9788,720,48,0,128,0.09128922236688886,0.29961005112936556,0.06868512736038324,0,5671.696000000013,390.0,49,0,0.0,0,0,0,0.0,0,0.0,19864.56479999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,208.0,2069.0924,4,0.0,0.0,NaN,5120.0,100.0,-0.25658890624999997,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,3869.9649999999997,3072,720.0,720.0,0.0,1338.630000000001,662.6750000000003,675.9550000000003,0.0,0.0,542.3519999999999,3856.685,0.3246828429181472,384,9530.971599999992,128,10333.593200000003,4,0.0,4,376.72,2,120.95039999999919,-1995.4,11.25,0,0,160,160,B best SuMSy village: co-ops + prices + reserve,debt,4,-1.1641532182693481e-10
2,512,4,4,25696.77139999999,0.0,25885.687600000005,0.0,5737.238400000003,,0.0,1895.63,3841.608400000003,0.0,1997.1844000000046,6.914479999999991,0.00375,0.0,9450.0036,0.0,1.0,2360.0011999999997,6010.173599999996,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.231813725490197,1.8459747629442405,10.077788488434438,2.1648460784313723,2.1126031372549017,4.277449215686274,3502.159700000025,1203.9959999999924,3502.159700000025,0.0,0,0,0.0,0.0,317.5325,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,188.91619999999995,252.19720000000004,0.0,0,441.1166,636.9871999999999,377.8356,479.4804000000075,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.006354617582964232,4.9100665434380595,5.5214853982300784,NaN,1.125410396039604,3.5538120058564955,3.802399999999999,904.0,1082.0,452.0,2048.0,1366.0,204.0,170,0,0,1,45,43.0,2048.0,17081.057499999963,673.1124,6935.3319,720,48,0,128,0.10916801231468276,0.306048207792585,0.09416926724579011,0,6219.437999999964,5312.69199999998,45,0,0.0,0,0,0,0.0,0,0.0,20893.244200000092,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,256.0,1007.2696,4,0.0,0.0,NaN,5120.0,100.0,-0.23048583333333336,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,170,0.0,6,6,3971.8349,3072,720.0,720.0,0.0,12431.843048228986,6551.943574114492,5879.899474114491,0.0,0.0,564.4119999999999,4643.879,0.33123033708008087,384,10033.125625000011,128,10860.118574999997,4,0.0,4,376.72,2,187.79900000000148,-1895.63,11.25,0,0,452,452,B best SuMSy village: co-ops + prices + reserve,debt,4,-1.1641532182693481e-10
3,512,4,4,27031.459799999964,0.0,27260.1487,0.0,6786.513500000008,,0.0,1795.86,4990.6535000000085,0.0,1149.0450999999996,14.40075212499993,0.00375,0.0,8442.554925693155,0.0,1.0,2142.552525693157,5062.763883795421,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.749336852724836,1.8539119988613417,14.603248851586178,2.1928381779139623,2.075070715229743,4.267908893143705,4008.3996999999686,3502.159700000045,4008.3996999999686,0.0,0,0,0.0,0.0,329.3079,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,228.6889,381.9713999999999,0.0,0,1990.2708,655.5823999999999,1900.2693000000002,1117.1606000000402,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1494.4230999999993,0.0,0.010204224831586648,5.5777675803402635,5.482807102803738,1.7831999999999988,1.3427102669404525,3.5064767570970123,3.688327999999999,1070.0,1058.0,535.0,2046.6666666666665,1441.9999999999998,204.0,150,0,0,2,48,31.0,2048.0,16308.076999999997,2316.3076,8102.302099999999,720,48,0,128,0.10163151315679242,0.38893491423172466,0.11471613795711577,0,6348.159799999996,5901.278099999999,48,0,47.0,0,0,0,0.0,0,0.0,26230.986619801977,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,83.81039999999994,166.0,304.7731,4,0.0,0.0,NaN,5120.0,100.0,-0.23060207869224425,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150,0.0,6,6,5483.2904,3072,720.0,720.0,0.0,13122.419867518729,6470.9041494859075,6651.515718032819,0.0,0.0,587.0984000000001,5240.0923999999995,0.4079622764957902,384,10496.599381930691,128,15734.387237871291,4,0.0,4,376.72,2,227.6304999999992,-1795.86,16.88115594059406,0,0,535,535,B best SuMSy village: co-ops + prices + reserve,debt,4,-1.1641532182693481e-10
4,512,4,4,26771.653700000035,0.0,27008.509300000005,0.0,8236.210700000012,,0.0,1716.8744,6519.336300000012,0.0,1528.6828000000003,18.708991624999907,0.00375,0.0,8035.466975644499,0.0,1.0,2271.4010418328435,4720.424033762983,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,13.661336890568665,1.6228307641714919,15.284167654740157,1.8795920231478762,1.6484857885875508,3.528077811735427,4135.3986999999715,3655.6812999999734,4488.117100000015,0.0,0,0,0.0,0.0,354.52979999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.85560000000004,500.7173999999998,0.0,4,354.91870000000006,614.7248,597.0581,849.3976000000207,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1535.1339999999998,0.0,0.01036505433519094,5.744845361781078,5.692145420560731,1.7563000000000002,1.4460373716632446,3.538908756852433,3.5776781599999983,1070.0,1078.0,535.0,2045.3333333333335,1426.0,204.0,153,0,0,0,50,35.0,2048.0,15021.734400000003,2641.0376,9108.881700000002,720,48,0,128,0.086088959083513,0.42729399990167094,0.11636142764514368,0,6423.250099999979,6192.943300000002,50,0,3.0,0,0,0,0.0,0,0.0,29454.42537905545,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,5.2689,150.0,0.0,4,0.0,0.0,NaN,5120.0,100.0,-0.20712136731449993,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,153,0.0,6,6,5919.3059,3072,720.0,720.0,0.0,12038.741009414493,6006.301391304445,6032.439618110049,0.0,0.0,570.6532,5830.6134,0.4436805983493597,384,10769.758947073924,128,18684.666431981525,4,0.0,4,376.72,2,235.85599999999897,-1716.8744,20.140654004106786,0,0,535,535,B best SuMSy village: co-ops + prices + reserve,debt,4,-1.1641532182693481e-10
5,512,4,4,27285.465800000024,0.0,27514.3863,0.0,10026.757200000015,,0.0,2617.7018,7409.055400000014,0.0,889.7191000000001,24.43877062499994,0.00375,0.0,8114.537418964575,0.0,1.0,2810.273064081628,4689.896512643039,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,14.557739648446612,1.5806988530266954,16.13843850147331,1.2246053956916019,1.5433462061664316,2.7679516018580332,4109.851800000037,3967.0879999999947,4630.880899999861,0.0,0,0,0.0,0.0,361.2867,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,228.9205,607.6375999999998,0.0,16,1116.4919,602.6797999999999,1642.0210000000002,1052.7596999999878,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,2051.9552000000044,119.35510000000006,0.011598714252382583,5.77156767123288,5.718178130841098,NaN,1.565431416837781,3.5733714409681485,3.4703478152,1070.0,1095.0,535.0,2048.0,1317.0,204.0,182,0,0,0,59,47.0,2048.0,14415.969199999989,2754.6879,10114.8087,720,48,0,128,0.06426031671074672,0.44800078631608464,0.10657109937830622,0,6580.785500000042,6319.866600000004,62,3,0.0,0,0,0,0.0,0,0.0,31345.666967761754,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,41.0,0.0,4,0.0,0.0,NaN,5120.0,100.0,-0.17139514798832134,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,182,0.0,6,6,6175.9032,3072,720.0,720.0,0.0,10382.469668108639,5476.712297648492,4905.757370460149,0.0,0.0,680.5528,6693.5934,0.4630570615396108,384,10865.829465349063,128,20479.83750241273,4,0.0,4,376.72,2,227.97970000000015,-2617.7018,21.69056057494867,0,0,535,535,B best SuMSy village: co-ops + prices + reserve,debt,4,-1.1641532182693481e-10
6,512,4,4,28309.67500000002,0.0,28533.1725,0.0,11929.095100000013,,0.0,4031.4384,7897.656700000012,0.0,488.6013,27.77362262499993,0.00375,0.0,8221.153914880273,0.0,1.0,2918.07879815292,4704.838443253509,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,16.078978378692803,1.6537329905156792,17.73271136920848,1.5673235142988236,1.586454484004828,3.1537779983036516,4095.2693999999815,3984.4079000000497,4741.742399999999,0.0,0,0,0.0,0.0,326.7319,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,223.49749999999995,716.6171999999999,0.0,34,1679.0302000000001,654.8209999999999,2403.3042000000005,1056.6094999999857,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,2156.2266000000063,131.07010000000008,0.010544470494535028,5.776957830188682,5.668798151571135,NaN,1.7371265720081146,3.6361472388566205,3.3662373807439985,1082.0,1060.0,541.0,2048.0,1292.0,204.0,188,0,0,1,47,37.0,2048.0,14695.837900000011,2770.269,10843.5681,720,48,0,128,0.07958213603447817,0.45567841426598465,0.1138652464948211,1,6865.673900000008,6123.575300000002,48,1,0.0,0,0,0,0.0,0,0.0,34375.78791190966,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,4.0,0.0,4,0.0,0.0,NaN,5120.0,100.0,-0.16315945279747393,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,6,6,6907.5567,3072,720.0,720.0,0.0,9849.50535055705,4845.760053922945,5003.745296634101,0.0,0.0,797.0374999999999,6706.2804,0.4698217526591255,384,11622.402207546196,128,22753.385704363438,4,0.0,4,376.72,2,222.61549999999949,-4031.4384,23.481471252566713,0,0,541,541,B best SuMSy village: co-ops + prices + reserve,debt,4,-1.1641532182693481e-10
7,512,4,4,46838.01709999999,0.0,39670.206699999995,0.0,31874.049300000006,,0.0,22973.496,8900.553300000009,0.0,1002.8966000000001,29.603888374999936,0.00375,0.0,8297.735360141773,0.0,1.0,2919.0746772369257,4722.111059142128,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,18.075147752828645,2.362235131055071,20.437382883883714,1.4616896740558942,1.565631178204782,3.0273208522606763,4110.837000000004,3948.1035000000234,4793.952100000011,0.0,4,0,110.52379999999978,17988.5113,322.181,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,242.2626,830.2197999999994,7513.2073,50,19266.0175,737.6754000000002,20903.4856,1012.4026000000017,0.0,0.0,0.0,0.0,0.0,0,17971.714200000002,0.0,0.0,0.0,0.0,2156.5149000000074,57.99790000000001,0.009825272131624044,5.719682106244177,5.732940485074645,NaN,1.9265651639344257,3.625552799372033,3.2652502593216792,1072.0,1073.0,536.0,2046.6666666666665,1298.0,204.0,187,0,0,1,56,31.0,2048.0,14481.654199999994,2779.5173999999997,11605.131300000001,720,48,0,128,0.08018939711536954,0.4305403106456571,0.11304029991398057,0,6897.728199999999,6137.218900000002,56,0,0.0,0,0,0,0.0,0,0.0,41306.671843610566,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,-0.02933227705454485,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,187,0.0,4,4,7264.6183,2048,480.0,480.0,0.0,9217.927775678325,4536.669937839162,4681.257837839163,0.0,0.0,514.4575,7120.0304,0.5506417157885908,384,14779.385024442181,128,26527.28681916837,4,0.0,4,376.72,2,10803.080600000001,-22973.496,26.056898580121718,0,4,536,536,B best SuMSy village: co-ops + prices + reserve,debt,4,-1.1641532182693481e-10
8,512,4,4,47441.45079999995,0.0,40479.5071,0.0,34008.05570000001,,0.0,24177.7468,9830.308900000013,0.0,929.7556,33.36283874999996,0.00375,0.0,8366.980550290142,0.0,1.0,2950.5656271095754,4748.887958526756,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.68720110186083,2.4688697182989845,23.156070820159815,1.6108395580271964,1.5673493787865633,3.17818893681376,4177.4223000000065,3906.2764999999918,5065.0979000000025,0.0,4,0,110.52379999999978,17988.5113,305.31609999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,448.1292999999999,1036.0864999999992,7513.2073,54,2391.9322,1788.4984999999995,3279.6078,964.8050000000005,0.0,0.0,0.0,0.0,0.0,0,17850.760000000002,0.0,0.0,0.0,0.0,2195.5678000000044,0.0,0.004331771172116676,5.677341298212607,5.853460853432283,NaN,2.038876171079428,3.625722848928522,3.167292751542029,1078.0,1063.0,539.0,2046.6666666666665,1284.0,204.0,191,0,0,1,42,29.0,2048.0,14552.458900000001,2787.2081000000003,12251.023799999999,720,48,0,128,0.08541947721599996,0.4456296793064214,0.12386955022360824,0,7003.609600000006,6035.013800000001,43,1,0.0,0,0,0,0.0,0,0.0,44981.78602950821,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,-0.002171461962090185,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,4,4,7627.4776,2048,480.0,480.0,0.0,9072.22648761682,4450.11751068004,4622.108976936781,0.0,0.0,528.0241,7410.7543,0.5552620148050587,384,15354.977244262283,128,29626.808785245907,4,0.0,4,376.72,2,10888.051900000006,-24177.7468,28.898477459016384,0,4,539,539,B best SuMSy village: co-ops + prices + reserve,debt,4,-1.1641532182693481e-10
9,512,4,4,47892.68060000002,0.0,41140.18,0.0,36130.1739,,0.0,25233.3701,10896.803800000003,0.0,1066.4948999999995,36.84725675,0.00375,0.0,8423.791219348388,0.0,1.0,2959.4255239381173,4768.32171289892,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.899684466919926,2.5477799197831716,25.447464386703093,1.8028654286053938,1.4679005737497803,3.2707660023551743,4228.527899999988,4004.638899999999,5288.986899999995,16.966,4,0,110.52379999999978,17988.5113,321.0702,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,657.5723999999999,1245.5296,7513.2073,58,2362.9013,1911.6715000000002,3423.3603000000003,995.0592999999993,0.0,0.0,0.0,0.0,0.0,0,17630.521099999998,0.0,0.0,0.0,0.0,2210.015700000006,0.0,0.013286252940421354,5.656495775941232,6.003018011257034,NaN,2.0666997938144323,3.6841420739235313,3.072273968995767,1066.0,1089.0,533.0,2046.6666666666667,1272.0,204.0,193,0,0,2,59,37.0,2048.0,14406.800299999997,2871.021,12984.3382,720,48,0,128,0.09584252265783721,0.45869117692042183,0.1382129989746026,1,7045.309099999991,6159.923900000002,59,0,0.0,0,0,0,0.0,0,0.0,47690.43726924639,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.03288843855413059,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,4,4,7964.3418,2048,480.0,480.0,0.0,8359.549373067639,4165.828160617372,4193.721212450266,0.0,0.0,460.63950000000006,7891.017400000001,0.5604692468512205,384,15729.108991191431,128,31961.32827805497,4,0.0,4,376.72,2,10877.314899999994,-25233.3701,30.58314256619142,0,4,533,533,B best SuMSy village: co-ops + prices + reserve,debt,4,-1.1641532182693481e-10
10,512,4,4,48161.892599999985,0.0,41621.6669,0.0,38131.9374,,0.0,26109.8074,12022.130000000001,0.0,1125.3261999999993,40.84473550000001,0.00375,0.0,8451.049093191381,0.0,1.0,2898.7899859261042,4764.841728794249,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.70110128252449,2.5943975018876273,27.295498784412118,1.9276377003904979,1.4570563931804412,3.384694093570939,4383.000599999976,4102.934600000011,5569.052900000031,108.61290000000001,4,0,110.52379999999978,17988.5113,306.94870000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,869.8472999999997,1457.8045000000004,7513.2073,62,2301.8604,2032.6483999999991,3487.9128,1064.0580999999993,0.0,0.0,0.0,0.0,0.0,0,17305.5861,0.0,0.0,0.0,0.0,2152.136300000006,0.0,0.015,5.671747191011233,6.220630185185152,NaN,2.0817784552845513,3.753287902351679,2.9801057499258943,1080.0,1068.0,540.0,2045.3333333333333,1286.0,204.0,189,0,0,2,48,35.0,2048.0,14388.9523,2917.2686999999996,13550.085500000001,720,48,0,128,0.10378997822506064,0.46599539602532625,0.15087731462300558,0,7125.453700000014,6057.425999999998,49,1,0.0,0,0,0,0.0,0,0.0,49701.752398969045,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.05357094852408183,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,4,4,8360.1072,2048,480.0,480.0,0.0,8542.20896372802,4144.67438186401,4397.534581864011,0.0,0.0,430.61409999999995,8107.246999999999,0.5621279864787607,384,16155.879644329892,128,33545.872754639175,4,0.0,4,376.72,2,10764.713599999995,-26109.8074,31.000496907216483,0,4,540,540,B best SuMSy village: co-ops + prices + reserve,debt,4,-1.1641532182693481e-10
