round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,24354.355999999938,0.0,1397.5,47.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.528459607843132,3.122502745098039,26.65096235294117,1.9317254901960794,3.0459145098039215,4.977640000000001,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,184.84400000000173,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0,254.9568,2560.0,184.84400000000173,0.0,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.9199999999999995,3.920000000000001,320.0,83.0,160.0,2048.0,322.0,0.0,431,0,0,0,47,36.0,2048.0,18538.095199999963,2300.452,3260.8520000000003,732,36,0,122,0.061929807333305886,0.4726761961447712,0.8303788097495637,0,3849.0951999999993,415.0,47,0,0.0,0,0,0,0.0,0,0.0,47338.095200001146,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,431,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061388600203882,390,15434.027199999962,122,31904.067999999992,4,2300.452,4,3260.8520000000003,2,254.9568,0.0,37.5,0,0,160,160,1 + planning margin,sumsy,10,-8.731149137020111e-11
2,512,4,4,26677.740599999997,0.0,7189.67130000001,3462.0462999999963,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.02074274509804,2.433551764705882,27.454294509803923,1.4898541176470583,2.556586862745098,4.046440980392156,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.47500000000000003,0.0,23,2560.0,236.6154000000014,5801.085200000002,0.0,0.0,0.0,0.0,0.0,0.0,0,142.36180000000002,2560.0,236.6154000000014,0.0,268.0,0.0,0.0,0.015,4.848913843351549,5.524806637168127,NaN,1.1306079545454553,3.695054304635726,3.8023999999999996,904.0,1098.0,452.0,2048.0,906.0,0.0,285,0,0,0,60,50.0,2048.0,16243.373299999988,2659.5399,7632.4655999999995,668,100,0,112,0.06516698673561905,0.48672810766422114,0.5464068281473244,0,6282.024099999985,5324.107400000001,60,0,0.0,0,0,0,0.0,0,0.0,48039.77440000007,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,285,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5301059884479957,400,18246.265399999982,112,29793.508999999987,4,2727.0399,4,4313.607700000002,2,397.31860000000006,0.0,37.5,0,0,452,452,1 + planning margin,sumsy,10,-8.731149137020111e-11
3,512,4,4,28953.797000000064,0.0,9324.375909090886,236.4655999999997,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,37.500782373970935,3.0184673739588606,40.5192497479298,2.4145844085803105,2.603536973109498,5.0181213816898085,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-35.54770000000008,0.0,26,2560.0,283.94359999999875,3791.6102999999994,0.0,0.0,0.0,0.0,0.0,0.0,0,241.0541,2560.0,283.94359999999875,0.0,268.0,0.0,0.0,0.015,4.753081232493042,5.451696857670977,NaN,1.341924438902743,3.2301185424354433,3.6883279999999994,1082.0,1071.0,541.0,2048.0,1084.0,0.0,241,0,0,0,59,38.0,2048.0,17850.082600000005,3159.3082000000004,7703.3521,628,140,0,106,0.10646077177939128,0.5391875700742874,0.4784314858513252,0,6542.222900000031,5090.5500000000475,59,0,0.0,0,0,0,0.0,0,0.0,61900.84618181806,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,241,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5793583678420982,406,21031.275418181835,106,40869.57076363637,4,5317.34797272728,4,4550.437300000004,2,600.5109999999999,0.0,56.530397727272764,0,0,541,541,1 + planning margin,sumsy,10,-8.731149137020111e-11
4,512,4,4,31182.428499999874,0.0,13914.146460847867,3668.610400000002,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,45.90445201593609,2.8925560597577595,48.797008075693846,2.1472125114181977,2.5166836785808764,4.663896189999074,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-71.23149999999961,0.0,30,2560.0,331.36850000000294,5835.381099999998,0.0,0.0,0.0,0.0,0.0,0.0,0,179.69389999999999,2560.0,331.36850000000294,0.0,268.0,0.0,0.0,0.015,4.57096954887222,5.3597685767097705,NaN,1.4477873684210514,3.0246885608856333,3.5776781599999987,1082.0,1064.0,541.0,2048.0,1084.0,0.0,241,0,0,1,48,31.0,2048.0,16414.836699999996,3519.7805,11068.1174,607,161,0,102,0.08260971523107319,0.5645565290659806,0.4863314765474689,0,6358.932499999995,4863.511600000043,48,0,0.0,0,0,0,0.0,0,0.0,69731.6248815461,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,241,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6060489755156311,410,23233.705138902762,102,46497.919742643404,4,7457.595572319201,4,4761.511899999998,2,761.5945999999997,0.0,67.09622194513715,0,0,541,541,1 + planning margin,sumsy,10,-8.731149137020111e-11
5,512,4,4,33365.148000000016,0.0,13282.068600000015,109.66659999999999,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,51.47593336049727,3.361749567058941,54.83768292755621,3.4893180748932893,2.7747914571059247,6.264109531999214,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-141.72819999999913,0.0,35,2560.0,377.28050000000025,3124.5454999999993,0.0,0.0,0.0,0.0,0.0,0.0,0,314.5196,2560.0,377.28050000000025,0.0,268.0,0.0,0.0,0.015,4.453388909426985,5.263718097014953,NaN,1.5697016000000006,2.925434450651789,3.4703478152,1072.0,1082.0,536.0,2046.6666666666665,1074.0,0.0,243,0,0,1,58,32.0,2048.0,18236.776800000007,3756.2714,11057.5802,607,161,0,102,0.13820526493149998,0.5708274904940367,0.4967687125116922,0,6222.0165999999845,4818.566799999998,58,0,0.0,0,0,0,0.0,0,0.0,74002.43383157898,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,243,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6156686754818317,410,23645.74710000001,102,50356.68673157891,4,8917.294315789464,4,5082.900199999998,2,957.5545999999999,0.0,72.38936842105257,0,0,536,536,1 + planning margin,sumsy,10,-8.731149137020111e-11
6,512,4,4,35505.99209999997,0.0,12645.318600000022,110.4779,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,57.950160211253625,3.234200788320972,61.184360999574594,5.232679282293213,2.7319659500186235,7.964645232311836,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-209.6158000000009,0.0,38,2560.0,419.15590000000003,1712.9991,0.0,0.0,0.0,0.0,0.0,0.0,0,370.5913,2560.0,419.15590000000003,0.0,268.0,0.0,0.0,0.015,4.343832929104453,5.18271090573012,NaN,1.637537631578949,2.89658450184497,3.3662373807439994,1082.0,1072.0,541.0,2046.6666666666667,1084.0,0.0,240,0,0,2,49,33.0,2048.0,20233.002100000016,3966.9777000000004,10935.421,607,161,0,102,0.16731052347647202,0.580218856604275,0.48083722533520246,0,6214.699600000008,4656.588899999973,49,0,0.0,0,0,0,0.0,0,0.0,78920.59506,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,240,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6267058395518614,410,24281.593600000007,102,54639.00146000001,4,10480.420980000004,4,5292.666599999995,2,1088.8509,0.0,78.48508000000002,0,0,541,541,1 + planning margin,sumsy,10,-8.731149137020111e-11
7,512,4,4,37609.02400000002,0.0,11931.783500000029,39.216699999999996,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,62.45090344006426,3.6701473382936687,66.12105077835794,6.683993480932053,3.1336585540578357,9.817652034989889,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-274.84599999999944,0.0,43,2560.0,456.9680999999999,3016.8745,0.0,0.0,0.0,0.0,0.0,0.0,0,470.7605,2560.0,456.9680999999999,0.0,268.0,0.0,0.0,0.015,4.2513585951940955,5.139576261682248,NaN,1.5942844919786092,2.865171548507482,3.2652502593216792,1070.0,1082.0,535.0,2045.3333333333333,1072.0,0.0,244,0,0,2,58,35.0,2048.0,22087.666299999997,4203.1482,10847.449,607,161,0,102,0.1931383818456942,0.5841475069107862,0.5075793576991596,0,6087.520700000002,4599.970000000011,58,0,0.0,0,0,0,0.0,0,0.0,82132.70711842112,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,244,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6327830995115489,410,24671.181500000017,102,57461.52561842111,4,11633.682334210538,4,5536.620099999997,2,1187.4595000000004,0.0,81.87688157894745,0,0,535,535,1 + planning margin,sumsy,10,-8.731149137020111e-11
8,512,4,4,39670.15999999998,0.0,11215.265200000013,38.1945,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,62.953300267706375,3.7298118453202096,66.68311211302658,8.458984732935365,3.2204415727860383,11.679426305721401,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-336.65160000000026,0.0,47,2560.0,498.8640000000004,1569.5314,0.0,0.0,0.0,0.0,0.0,0.0,0,521.1068,2560.0,498.8640000000004,0.0,268.0,0.0,0.0,0.015,4.179925259189417,5.098161254612554,NaN,1.5598708661417313,2.8401837937385084,3.167292751542029,1084.0,1061.0,542.0,2045.3333333333335,1086.0,0.0,240,0,0,1,42,31.0,2048.0,24079.94859999999,4469.4144,10599.690200000001,607,161,0,102,0.21094785789495596,0.5771925844469126,0.4901705367678988,0,6058.053999999986,4434.900699999972,42,0,0.0,0,0,0,0.0,0,0.0,82113.86413155083,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,240,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6287125601726435,410,25330.814999999984,102,56783.04913155078,4,11922.771560427802,4,5620.786800000001,2,1233.2620000000002,0.0,79.71422459893046,0,0,542,542,1 + planning margin,sumsy,10,-8.731149137020111e-11
9,512,4,4,41691.42450000001,0.0,10464.360599999987,5.718,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,63.79498380951825,3.976495485182887,67.77147929470114,9.952732609252458,3.491919553587551,13.444652162840008,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-395.0013,0.0,50,2560.0,538.7354999999997,864.0674,0.0,0.0,0.0,0.0,0.0,0.0,0,577.8186000000001,2560.0,538.7354999999997,0.0,268.0,0.0,0.0,0.015,4.137831119199266,5.061807909604542,NaN,1.5296432432432434,2.7995346177945004,3.072273968995767,1062.0,1099.0,531.0,2046.6666666666665,1064.0,0.0,245,0,0,2,69,39.0,2048.0,25763.200099999987,4746.8177,10603.5881,607,161,0,102,0.23534820924702626,0.5756485029217056,0.518098145559972,0,5891.0028999999895,4547.476399999993,69,0,0.0,0,0,0,0.0,0,0.0,82088.6558874015,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,245,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.630052217566778,410,25525.534899999988,102,56563.12098740154,4,12294.155972440933,4,5956.610200000005,2,1251.0437000000002,0.0,77.99354330708657,0,0,531,531,1 + planning margin,sumsy,10,-8.731149137020111e-11
10,512,4,4,43671.1186,0.0,9712.827799999977,5.3756,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,64.64178780793976,3.697900376819389,68.33968818475915,12.069865411894119,3.373349133279513,15.443214545173634,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-449.5533999999967,0.0,56,2560.0,580.3058999999988,1842.9113000000002,0.0,0.0,0.0,0.0,0.0,0.0,0,607.2230999999999,2560.0,580.3058999999988,0.0,268.0,0.0,0.0,0.015,4.165297089201875,5.04192917431194,NaN,1.5269010416666668,2.7693888278388057,2.9801057499258943,1090.0,1065.0,545.0,2045.3333333333335,1092.0,0.0,238,0,0,1,47,34.0,2048.0,27586.9687,5052.3663,10424.5605,607,161,0,102,0.26381274535004673,0.574993639613999,0.5123225855989539,0,5918.4445999999925,4436.041399999996,47,0,0.0,0,0,0,0.0,0,0.0,82334.01293243236,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,238,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6313417973519329,410,26076.480599999988,102,56257.53233243243,4,12727.383008108109,4,6109.508100000001,2,1238.5151,0.0,76.48216216216217,0,0,545,545,1 + planning margin,sumsy,10,-8.731149137020111e-11
