round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25676.160100000037,0.0,25786.056099999994,0.0,4153.6641,,0.0,4153.6641,0.0,0.0,0.0,0.0,0.00375,44.7321,0.0,0.0,1.0,4460.0012,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.67240980392157,3.4195450980392152,11.091954901960786,1.123001960784314,3.2525666666666666,4.37556862745098,0.0,0.0,0.0,0.0,0,0,0.0,0.0,44.732,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,1,4173.1761,476.21600000000007,4537.9762,351.0692,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.6544486692015257,3.920000000000001,320.0,89.0,160.0,2048.0,526.0,204.0,380,0,0,0,56,33.0,2048.0,20462.57600000001,2076.5528,3092.2992,768,0,0,128,0.03218325955301293,0.2384575432925704,0.05962773805213217,0,5535.904000000008,445.0,56,0,0.0,0,0,0,0.0,0,0.0,29090.90400000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8431981608597228,384,15264.039999999992,128,13826.864,4,-7679.6872,4,-8764.340799999998,2,102.05599999999882,-4108.932,11.25,0,0,160,160,3 + interest on deposits,debt,5,-5.820766091346741e-11
2,512,4,4,27531.42369999998,0.0,27719.378999999997,0.0,6438.0118,,0.0,6438.0118,0.0,0.0,0.0,0.0,0.00375,296.9396,0.0,0.0,1.0,2980.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.246398039215686,3.3444454901960787,11.590843529411764,1.5559676470588228,3.342342549019608,4.898310196078431,0.0,0.0,0.0,0.0,0,0,0.0,0.0,296.9396,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,187.95530000000002,238.8067,0.0,3,2559.1531,703.8894999999998,4067.7129999999997,968.6293000000169,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2320.0,0.0,0.005287511165029702,4.812846834264419,5.503692763157881,NaN,1.1273603070175433,3.545372450804983,3.8023999999999996,912.0,1074.0,456.0,2048.0,1118.0,204.0,232,0,0,2,52,33.0,2048.0,21435.32129999999,2118.0254,3681.1374,768,0,0,128,0.05025012188680478,0.24813115696050714,0.09996343221327764,0,6126.114199999972,5168.997499999986,52,0,0.0,0,0,0,0.0,0,0.0,30047.96229999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,232,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5611937551217474,384,15648.070299999985,128,14399.892000000002,4,-7472.854599999999,4,-7974.542600000001,2,180.50709999999964,-6141.0722000000005,11.25,0,0,456,456,3 + interest on deposits,debt,5,-5.820766091346741e-11
3,512,4,4,29870.36110000002,0.0,30106.978900000002,0.0,7939.7628,,0.0,7939.7628,0.0,0.0,0.0,0.0,0.00375,247.2321,0.0,0.0,1.0,2528.5592860335196,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.704482529209134,3.53317607638278,16.237658605591914,2.2782406976571896,3.5775016824715475,5.855742380128738,0.0,0.0,0.0,0.0,0,0,0.0,0.0,247.23209999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.61780000000005,377.3796,0.0,4,3177.9042,838.9668,4299.919899999999,1009.2910000000132,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1893.2626000000005,0.0,0.008039817332036972,4.7331721964782725,5.437517657992562,NaN,1.3418700743494427,3.399684697443814,3.6883279999999994,1076.0,1079.0,538.0,2045.3333333333335,1282.0000000000002,204.0,190,0,0,0,52,36.0,2048.0,22542.967800000002,3465.7749,3614.3863,768,0,0,128,0.07046833596220825,0.3180944208829539,0.1197848570400144,0,6211.5265999999965,5107.092800000056,52,0,0.0,0,0,0,0.0,0,0.0,35499.45543684215,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2850622792934152,384,16026.668000000005,128,19472.7874368421,4,-7208.9619,4,-7840.333699999999,2,229.56159999999818,-7692.5307,16.91040460526315,0,0,538,538,3 + interest on deposits,debt,5,-5.820766091346741e-11
4,512,4,4,30985.826399999954,0.0,31261.4602,0.0,9522.6277,,0.0,9522.6277,0.0,0.0,0.0,0.0,0.00375,234.3182,0.0,0.0,1.0,2525.505916300702,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.511571849267266,3.6057785095868398,19.117350358854104,2.959252357396556,3.6522071821215705,6.611459539518127,0.0,0.0,0.0,0.0,0,0,0.0,0.0,234.3181,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,275.6338,530.8076,0.0,5,2123.6868,1008.2214999999999,3164.0732,969.4247999999968,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1900.7242000000015,0.0,0.009192113204720395,4.590646921641816,5.424306331471114,NaN,1.4403530726256992,3.224506898386813,3.5776781599999987,1074.0,1072.0,537.0,2048.0,1280.0,204.0,192,0,0,1,48,37.0,2048.0,23688.88209999999,3490.0116,3572.6144999999997,768,0,0,128,0.09334730196762075,0.351809784944781,0.11782260039839532,0,6066.4577999999965,4921.173500000026,48,0,0.0,0,0,0,0.0,0,0.0,39115.73305650555,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1588742280707083,384,16376.660000000005,128,22739.073056505575,4,-6956.904399999999,4,-7681.1455000000005,2,268.969599999996,-9288.3095,20.12805111524164,0,0,537,537,3 + interest on deposits,debt,5,-5.820766091346741e-11
5,512,4,4,31992.375699999986,0.0,32292.947400000005,0.0,10983.7364,,0.0,10983.7364,0.0,0.0,0.0,0.0,0.00375,230.1882,0.0,0.0,1.0,2377.423862507136,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,17.753330838418396,3.709452620854518,21.462783459272913,3.899159105596459,3.738345340502486,7.637504446098945,0.0,0.0,0.0,0.0,0,0,0.0,0.0,230.18820000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,300.5717,689.8719999999996,0.0,12,2120.8709999999996,1114.3217,7214.626300000001,959.7993000000022,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1771.4580999999964,0.0,0.010898430943890827,4.471919726027389,5.328132835820856,NaN,1.572466604477612,3.146487631969277,3.4703478152,1072.0,1095.0,536.0,2046.6666666666667,1278.0,204.0,192,0,0,2,63,47.0,2048.0,24697.4116,3453.3435,3611.4324,768,0,0,128,0.11733684793498278,0.37005567685144625,0.13836982312160861,0,5905.9016000000165,4896.752099999991,63,0,0.0,0,0,0,0.0,0,0.0,41259.23539664802,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0891761432013107,384,16614.3384,128,24644.896996648054,4,-6765.7517,4,-7441.3676,2,294.2994999999968,-10753.5482,21.60529608938549,0,0,536,536,3 + interest on deposits,debt,5,-5.820766091346741e-11
6,512,4,4,32924.60749999999,0.0,33242.38759999999,0.0,12364.17,,0.0,12364.17,0.0,0.0,0.0,0.0,0.00375,205.0704,0.0,0.0,1.0,2283.998000454657,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.374725178201597,3.940679623252374,24.315404801453973,4.860848767852626,3.9763950824850354,8.83724385033766,0.0,0.0,0.0,0.0,0,0,0.0,0.0,205.0704,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,317.78010000000006,853.9552999999999,0.0,16,2150.9096,1218.6778000000002,5001.4357,933.3644999999955,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1693.7027999999991,0.0,0.009337575377729931,4.355800473484826,5.2189687499999975,NaN,1.6432080882352944,3.0612581946178814,3.3662373807439994,1088.0,1056.0,544.0,2045.3333333333335,1294.0,204.0,187,0,0,2,48,33.0,2048.0,25916.27370000001,3378.3029,3424.9604999999997,768,0,0,128,0.13809030050651772,0.38850802484068025,0.14540321122042354,0,5820.583000000013,4599.725299999976,48,0,0.0,0,0,0,0.0,0,0.0,44001.8660835821,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,187,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0395827537017193,384,16925.83230000001,128,27076.033783582094,4,-6612.9715,4,-7426.879500000001,2,311.8997999999981,-12159.0996,23.586999067164182,0,0,544,544,3 + interest on deposits,debt,5,-5.820766091346741e-11
7,512,4,4,33920.47140000002,0.0,34251.37100000001,0.0,13804.1469,,0.0,13804.1469,0.0,0.0,0.0,0.0,0.00375,214.7011,0.0,0.0,1.0,2283.3114677301915,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.464103845505857,3.9718282051219522,26.43593205062781,5.957284612831404,4.006880630842194,9.964165243673598,0.0,0.0,0.0,0.0,0,0,0.0,0.0,214.70090000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,330.8996000000001,1022.6408999999999,0.0,19,2319.3457,1323.4818000000005,4887.7528,914.7858999999963,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1708.3475000000026,0.0,0.010502906160367729,4.252350137236978,5.142074859287064,NaN,1.597395872420262,2.9996479264937177,3.2652502593216792,1066.0,1093.0,533.0,2045.3333333333333,1272.0,204.0,193,0,0,3,55,50.0,2048.0,26941.69399999998,3328.3294,3435.7469,768,0,0,128,0.159395719279938,0.4011377720525737,0.14396446256741302,0,5675.224799999986,4647.818700000017,55,0,0.0,0,0,0,0.0,0,0.0,45844.04897647056,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962797073121457,384,17186.30999999999,128,28657.73897647059,4,-6435.1242,4,-7215.133099999999,2,325.41130000000067,-13589.4458,24.648121323529416,0,0,533,533,3 + interest on deposits,debt,5,-5.820766091346741e-11
8,512,4,4,34887.48669999995,0.0,35229.7369,0.0,15212.5978,,0.0,15212.5978,0.0,0.0,0.0,0.0,0.00375,199.7746,0.0,0.0,1.0,2243.6071850767366,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.30922193223842,4.164095981323059,27.473317913561477,7.028191335997535,4.198975194620239,11.227166530617774,0.0,0.0,0.0,0.0,0,0,0.0,0.0,199.77449999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,342.2502,1196.2258999999995,0.0,23,2403.5855,1436.5702,6065.7303,889.2505999999906,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1682.296199999998,0.0,0.010758235641756306,4.2006200754005425,5.18443221601489,NaN,1.556582309124766,2.9381275141525833,3.167292751542029,1074.0,1061.0,537.0,2044.0,1280.0,204.0,191,0,0,0,52,35.0,2048.0,28073.2781,3361.9030000000002,3252.531,768,0,0,128,0.17622933002651076,0.4008021914222384,0.14228165357162514,0,5589.508900000033,4456.857899999975,52,0,0.0,0,0,0,0.0,0,0.0,46448.788550281366,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9685165064259591,384,17526.363199999996,128,28922.425350281424,4,-6173.729799999999,4,-7197.389,2,337.15390000000224,-15012.823199999999,23.96093808630393,0,0,537,537,3 + interest on deposits,debt,5,-5.820766091346741e-11
9,512,4,4,35834.02939999995,0.0,36186.61359999999,0.0,16597.6791,,0.0,16597.6791,0.0,0.0,0.0,0.0,0.00375,220.1279,0.0,0.0,1.0,2191.118219954322,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.241251157151122,4.153819749049121,28.395070906200246,8.145143880620603,4.197747437366463,12.342891317987066,0.0,0.0,0.0,0.0,0,0,0.0,0.0,220.1279,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,352.5842,1374.5613999999991,0.0,26,2499.9309000000003,1553.3882000000003,4566.9355,902.4494000000134,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1636.6322000000011,0.0,0.01044860525941155,4.262199172794115,5.113196118299467,NaN,1.5541865064695002,2.8790534549323534,3.072273968995767,1082.0,1088.0,541.0,2048.0,1288.0,204.0,190,0,0,1,58,42.0,2048.0,28940.16729999997,3397.6288999999997,3276.1052999999997,768,0,0,128,0.19539820993855161,0.40524984121312024,0.14529712870016653,0,5503.346800000009,4637.272699999997,58,0,0.0,0,0,0,0.0,0,0.0,46844.537301117365,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9401120952645081,384,17595.95819999998,128,29248.579101117306,4,-5910.1831,4,-6972.8547,2,347.8798999999975,-16377.551200000002,23.348734636871487,0,0,541,541,3 + interest on deposits,debt,5,-5.820766091346741e-11
10,512,4,4,36771.73289999999,0.0,37133.97600000001,0.0,17976.2221,,0.0,17976.2221,0.0,0.0,0.0,0.0,0.00375,207.6323,0.0,0.0,1.0,2196.0579611370104,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.949916709322157,4.090268546567614,29.04018525588977,9.038862289322203,4.127117562010105,13.165979851332308,0.0,0.0,0.0,0.0,0,0,0.0,0.0,207.6322,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,362.2431,1557.5471000000005,0.0,28,2612.3384,1674.6348999999998,4060.2033,888.0065999999995,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1633.4452000000006,0.0,0.011354421324642427,4.197867853795695,5.084338961038975,NaN,1.5764617810760677,2.8709825213983367,2.9801057499258943,1078.0,1067.0,539.0,2046.6666666666665,1284.0,204.0,189,0,0,1,50,36.0,2048.0,29947.992899999994,3422.9037,3193.2039999999997,768,0,0,128,0.2125161220489611,0.411643778303161,0.147653695553553,0,5489.126500000017,4479.125000000006,50,0,0.0,0,0,0,0.0,0,0.0,47826.77105452867,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9139434899007064,384,17709.969600000008,128,30116.80145452864,4,-5657.0875,4,-6854.796,2,357.93079999999964,-17768.589799999998,23.312797597042504,0,0,539,539,3 + interest on deposits,debt,5,-5.820766091346741e-11
