round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26705.393700000066,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1683.015,1683.0,149.1456000000019,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.697758557987386,0.0,672.0,1.0,2307.5,1.0,0,0,0,1.0,48,179.20089411764704,2.9096201960784307,182.11051431372547,4.765646078431373,0.5434594117647058,5.309105490196079,850.000000000002,0.0,850.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,279.8863,0.0,2429.3488000000084,0.0,0.0,0.0,0.0,0.0,0,240.7152,2560.0,279.8863,121.84880000000001,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,67.0,160.0,2048.0,734.0,204.0,328,0,0,0,42,25.0,2048.0,16001.964500000015,1537.838,4323.852599999999,767,1,0,128,0.23586978115395918,0.697758557987386,0.6571601930058748,72,5260.139899999996,335.0,42,0,520.0,0,0,0,0.0,0,0.0,246101.9645000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2918.0084,4,90.284,90.28399999999995,NaN,5120.0,100.0,0.14778155924479167,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,0.0,967.5460000000007,0.0,967.5460000000007,0.0,90.284,709.4323999999997,8779.698999999999,0.7051755903356742,384,14110.970600000011,128,231990.99390000053,4,0.0,4,0.0,2,240.7152,1683.015,11.925,300.0,0,0,160,160,"LD10 + government reserve, land levy, land dividend",sumsy,1,-1.6007106751203537e-10
2,512,4,4,28944.15109999992,0.0,569.6268,569.6268,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1683.0478,1683.0,145.51039999999932,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.694426669550589,0.0,956.0,0.0,600.0962000000001,1.0,0,0,0,0.2535133744855967,48,179.55008764705883,2.737998039215687,182.2880856862745,4.229284313725489,0.863718431372549,5.093002745098039,2465.9642999999983,850.0000000000022,2465.9642999999983,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,321.24260000000027,569.6268,742.6650999999989,0.0,0.0,0.0,0.0,0.0,0,381.0796,2560.0,321.24260000000027,142.56889999999993,274.0,0.0,0.0,0.0,4.884344444444406,5.501043370786513,2.212273245614036,1.1358351351351341,3.5215357480314653,3.802399999999999,890.0,1080.0,445.0,2048.0,1270.0,204.0,194,0,0,2,48,35.0,2048.0,16987.4948,807.04,6958.3344,767,1,0,128,0.20516857055288829,0.694426669550589,0.4005926449336903,25,7463.367499999972,5275.091999999959,58,10,228.0,0,0,0,0.0,0,0.0,247087.49479999905,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,504.39830000000023,174.0,2127.1544999999996,4,39.1445,39.1444,NaN,5120.0,100.0,0.15662275553385416,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,12,0.0,0,0.0,1200.0,0.0,9825.068432970102,0.0,9825.068432970102,0.0,39.1445,917.8656999999998,9892.528900000001,0.700901595246054,384,14808.42020000001,128,232279.07459999982,4,0.0,4,0.0,2,387.0796,1683.0478,12.640500000000001,300.0,0,0,445,445,"LD10 + government reserve, land levy, land dividend",sumsy,1,-1.6007106751203537e-10
3,512,4,4,31153.18520000002,0.0,3098.0917999999997,2556.9464,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1670.0263,1670.0256000000004,877.516799999996,1.0,548.0256000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.6646764773379117,0.0,1045.0,2.0,1313.5681000000006,1.0,0,0,0,0.2564758994208064,48,123.80820808433388,3.1601961020719105,126.9684041864058,3.5162137345048414,1.3827964015213716,4.899010136026213,2934.6012000000064,2465.9642999999905,2934.6012000000064,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.696199999999999,0.0,48,2560.0,350.96589999999964,2556.9464,1463.5407000000052,0.0,0.0,0.0,0.0,0.0,0,20.4266,2560.0,350.96589999999964,149.97260000000014,274.0,0.0,0.0,0.015,4.817170615671617,5.461800000000012,2.109925791855205,1.3444969754253298,3.4719998995852275,3.688327999999999,1068.0,1072.0,534.0,2045.3333333333335,1527.0,204.0,129,0,0,0,54,29.0,2048.0,18005.41420000002,2352.4237,7560.1123,763,5,0,128,0.15619731031461925,0.6646764773379117,0.33119806813703945,13,8509.69320000001,5164.006899999973,56,2,442.0,0,0,0,0.0,0,0.0,173426.8171999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,932.5872000000006,253.0,1544.7821000000001,4,0.0,0.0,NaN,5120.0,100.0,0.15247912597656252,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,1200.0,0.0,13130.807435935176,0.0,13130.807435935176,0.0,0.0,1195.4099999999999,11457.3181,0.6699030389321519,384,16156.754100000004,128,157270.06309999997,4,0.0,4,0.0,2,477.2935,1670.0263,13.398930000000002,201.76,0,0,534,534,"LD10 + government reserve, land levy, land dividend",sumsy,1,-1.6007106751203537e-10
4,512,4,4,33318.918099999995,0.0,5400.9798,2459.2169000000004,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1657.8882,1657.8850500000005,1789.388799999984,1.0,540.4878000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.6747026690228581,0.0,1051.0,1.0,2224.6871999999994,1.0,0,0,0,0.2561056676468294,48,156.59855586400727,3.5241775847948573,160.1227334488021,3.558732284147089,1.7837466119119154,5.342478896059005,2952.8222000000096,2934.6011999999996,2952.8222000000096,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-36.67670000000001,0.0,48,2560.0,394.2671,2459.2169000000004,2387.1256999999996,0.0,0.0,0.0,0.0,0.0,0,48.0114,2560.0,394.2671,162.43850000000012,274.0,0.0,0.0,0.015,5.446299079189697,5.394893750000017,1.917087926509187,1.4449897196261672,3.2292553826312163,3.5776781599999983,1088.0,1086.0,544.0,2048.0,1550.0,204.0,124,0,0,2,54,39.0,2048.0,19092.219800000013,2707.5265,8412.597300000001,759,9,0,128,0.14647481214278457,0.6747026690228581,0.3007553536595109,6,8272.687499999976,5914.680800000011,56,2,381.0,0,0,0,0.0,0,0.0,213040.4760999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,730.4105000000002,256.0,1400.6749,4,0.0,0.0,NaN,5120.0,100.0,0.15263697102864585,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,124,0.0,0,12,0.0,0,0.0,1200.0,0.0,12586.181559021792,0.0,12586.181559021792,0.0,0.0,1255.6963999999998,12520.798700000001,0.679875276242492,384,17679.601900000016,128,195360.87420000008,4,0.0,4,0.0,2,745.7909999999999,1657.8882,14.202865800000003,250.88,0,0,544,544,"LD10 + government reserve, land levy, land dividend",sumsy,1,-1.6007106751203537e-10
5,512,4,4,35443.796900000016,0.0,6290.2181,1168.5278,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1692.9929,1692.9541800000006,1587.6607999999894,1.0,611.0768999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9856770833333334,0.6981470092775546,0.0,1039.0,2.0,2114.844699999999,1.0,0,0,0,0.25458701848793225,48,223.89757883667403,3.6000303824262,227.4976092191002,3.4537416198451125,1.5517256106991555,5.0054672305442685,3014.7802000000015,2952.8222000000146,3014.7802000000015,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-90.6866,0.0,48,2560.0,435.12120000000004,1168.5277999999998,2299.5509,0.0,0.0,0.0,0.0,0.0,0,334.522,2560.0,435.12120000000004,184.70619999999994,274.0,0.0,0.0,0.015,5.594685948905115,5.570223420074353,1.8303254545454544,1.57912239089184,3.1749205830201994,3.4703478152,1076.0,1096.0,538.0,2045.3333333333335,1538.0000000000002,204.0,127,0,0,2,62,51.0,2048.0,20534.74400000001,2678.1816,8992.7215,757,11,0,128,0.14954503459858692,0.6981470092775546,0.2971383974530646,9,8178.311100000017,6131.775800000006,63,1,330.0,0,0,0,0.0,0,0.0,333250.67305000057,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,604.0074,256.0,1210.6349,4,0.0,0.0,NaN,5120.0,100.0,0.18031101318359374,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,12,0.0,0,0.0,1200.0,0.0,11062.138428971004,0.0,11062.138428971004,0.0,0.0,1403.6805,12881.537999999999,0.702605104758578,384,18987.065799999997,128,314263.60724999994,4,0.0,4,568.0994000000001,2,999.2546,1692.9929,15.055037748000004,407.88425,0,0,538,538,"LD10 + government reserve, land levy, land dividend",sumsy,1,-1.6007106751203537e-10
6,512,4,4,37522.977199999994,0.0,7248.2759,1295.7738,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1724.6788,1724.6568000000002,1918.3615999999763,1.0,627.7232999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9830729166666666,0.7054119113115354,0.0,1040.0,1.0,2446.508000000001,1.0,0,0,0,0.2558929705215419,48,275.5404470824219,3.828835006539883,279.36928208896177,4.085999382647571,1.4072515354856767,5.493250918133247,3027.903100000018,3014.780200000021,3027.903100000018,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-153.58849999999995,0.0,48,2560.0,480.8197000000002,1295.7738,2650.535500000005,0.0,0.0,0.0,0.0,0.0,0,326.8985,2560.0,480.8197000000002,204.0274999999999,274.0,0.0,0.0,0.015,5.600251238095244,5.573894629629663,1.7715657024793285,1.7416197343453506,3.200595782620351,3.3662373807439985,1080.0,1050.0,540.0,2045.3333333333335,1542.0,204.0,126,0,0,1,51,27.0,2048.0,22253.48920000001,2641.9062,9297.7911,755,13,0,128,0.16410406314507275,0.7054119113115354,0.2825296300859015,16,8284.371500000027,5880.263800000006,51,0,484.0,0,0,0,0.0,0,0.0,415904.0468000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,857.437799999995,256.0,1278.2134,4,0.0,0.0,NaN,5120.0,100.0,0.20629675618489585,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,1200.0,0.0,11089.11121051019,0.0,11089.11121051019,0.0,0.0,1315.3008999999997,13217.9107,0.7096801318961197,384,20629.438600000005,128,395274.60820000013,4,0.0,4,1168.3155000000002,2,1114.7141000000001,1724.6788,15.958340012880004,515.7685,0,0,540,540,"LD10 + government reserve, land levy, land dividend",sumsy,1,-1.6007106751203537e-10
7,512,4,4,39553.73690000003,0.0,8959.2106,2113.4397,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1747.5985,1747.570371428572,2463.02719999999,1.0,628.3506000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.704353163085943,0.0,1038.0,1.0,2975.627000000001,1.0,0,0,0,0.2560710743801653,48,291.12273407849864,4.213261956837013,295.33599603533565,4.431455073995345,1.3554108295777663,5.786865903573111,3030.8223000000007,3027.9031000000027,3030.8223000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-226.07129999999958,0.0,48,2560.0,529.2403000000004,2113.4397,3198.2647999999926,0.0,0.0,0.0,0.0,0.0,0,157.2878,2560.0,529.2403000000004,222.63780000000014,274.0,0.0,0.0,0.015,5.541026363636364,5.589651762523192,1.7547206070287469,1.924344550669215,3.1514106421520762,3.26525025932168,1078.0,1100.0,539.0,2046.6666666666667,1540.0,204.0,126,0,0,1,61,43.0,2048.0,23953.510099999996,2599.4964,9504.9066,752,16,0,128,0.17498646815134444,0.704353163085943,0.20421510683758437,25,8259.955200000037,6095.129000000001,62,1,626.0,0,0,0,0.0,0,0.0,440010.7634999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1098.4550999999956,256.0,1590.9375,4,0.0,0.0,NaN,5120.0,100.0,0.21950647623697916,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,1200.0,0.0,10942.630548594245,0.0,10942.630548594245,0.0,0.0,1239.5425,13695.3405,0.7082088252140399,384,22643.960199999998,128,417366.8032999996,4,0.0,4,2085.6857000000005,2,1245.1986000000002,1747.5985,16.915840413652806,546.8822,0,0,539,539,"LD10 + government reserve, land levy, land dividend",sumsy,1,-1.6007106751203537e-10
8,512,4,4,41543.28210000003,0.0,9083.4393,632.4055,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1762.2924,1762.2635250000003,1621.40159999999,1.0,621.7051999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.7019929349720846,0.0,1037.0,0.0,2072.4808,1.0,0,0,0,0.2552175554317587,48,293.9720680814042,4.354047884698054,298.32611596610224,5.181378682975903,1.1977182203729448,6.379096903348848,3037.9672999999893,3030.8223000000057,3037.9672999999893,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-315.66279999999955,0.0,48,2560.0,570.4547999999999,632.4055,2324.405699999993,0.0,0.0,0.0,0.0,0.0,0,420.6844,2560.0,570.4547999999999,251.92489999999987,274.0,0.0,0.0,0.015,5.457812418300658,5.5821946395563575,1.729065156249997,1.9867163809523816,3.0506384443004513,3.167292751542029,1082.0,1071.0,541.0,2046.6666666666667,1544.0,204.0,125,0,0,0,48,42.0,2048.0,25073.1981,2516.4220000000005,9854.7822,752,16,0,128,0.19657900438859333,0.7019929349720846,0.18801293622785997,26,8112.617700000013,5845.317100000005,51,3,640.0,0,0,0,0.0,0,0.0,440855.37460000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1106.6016999999981,256.0,1915.903,4,0.0,0.0,NaN,5120.0,100.0,0.2271159065755208,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,12,0.0,0,0.0,1200.0,0.0,10557.87113390971,0.0,10557.87113390971,0.0,0.0,1136.6691999999998,14287.1072,0.7055291869582889,384,23945.11209999999,128,416910.2624999999,4,0.0,4,2603.3948,2,1453.2213000000002,1762.2924,17.930790838471975,546.8822,0,0,541,541,"LD10 + government reserve, land levy, land dividend",sumsy,1,-1.6007106751203537e-10
9,512,4,4,43492.798799999975,0.0,10674.126300000002,2130.484,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1770.6006,1770.5788666666672,2791.2704000000203,1.0,612.3672000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9752604166666666,0.7013293184328666,0.0,1031.0,1.0,3242.2335999999996,1.0,0,0,0,0.2561500665752361,48,315.539362834567,4.787164540654258,320.32652737522125,5.915685532269921,1.2547945602472095,7.17048009251713,2964.3719000000096,3037.9673000000103,2964.3719000000096,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-406.4974999999993,0.0,48,2560.0,610.4832999999999,2130.484,3502.2987000000026,0.0,0.0,0.0,0.0,0.0,0,318.6796,2560.0,610.4832999999999,260.0651000000001,274.0,0.0,0.0,0.015,5.381221621621619,5.5072371962617,1.8473737499999974,1.9993999999999985,3.0852064316798113,3.0722739689957668,1070.0,1073.0,535.0,2048.0,1532.0,204.0,129,0,0,2,57,36.0,2048.0,27512.696599999996,2493.8865,9359.4791,749,19,0,128,0.19899483183349997,0.7013293184328666,0.23336467865319555,28,8091.0764999999765,5774.050799999997,59,2,640.0,0,0,0,0.0,0,0.0,464801.3858000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1182.3191999999983,256.0,2037.4564,4,1.0616,1.0616,NaN,5120.0,100.0,0.23110060872395835,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,1200.0,0.0,10392.719919343723,0.0,10392.719919343723,0.0,1.0616,1316.8112999999996,13890.822,0.7042296835694382,384,26142.355699999993,128,438659.0301000003,4,0.0,4,3938.8346999999994,2,1537.333,1770.6006,19.006638288780294,577.9959,0,0,535,535,"LD10 + government reserve, land levy, land dividend",sumsy,1,-1.6007106751203537e-10
10,512,4,4,45407.555500000046,0.0,11721.0981,1693.2932,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1774.6647,1774.6530900000007,2177.0239999999826,1.0,603.7737000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.97265625,0.6992928365323263,0.0,1033.0,1.0,2578.4169,1.0,0,0,0,0.2567368329111712,48,319.7403457332814,5.132247237867713,324.8725929711492,6.67518320593788,1.4827808832402447,8.157964089178126,2938.2937000000093,2964.371899999997,2938.2937000000093,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-513.2393999999993,0.0,48,2560.0,645.2432999999995,1693.2932,2862.313200000002,0.0,0.0,0.0,0.0,0.0,0,270.8032,2560.0,645.2432999999995,283.89629999999994,274.0,0.0,0.0,0.015,5.324568691588783,5.407951296296313,1.9788704687499998,1.9695520231213897,3.0004442926583903,2.9801057499258943,1080.0,1070.0,540.0,2045.3333333333333,1542.0000000000002,204.0,125,0,0,1,45,38.0,2048.0,29117.1796,2334.6013,9745.2613,747,21,0,128,0.21288460131980402,0.6992928365323263,0.22096242438737757,18,7940.38429999999,5697.288499999998,45,0,640.0,0,0,0,0.0,0,0.0,465373.9235999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1266.4770999999998,256.0,2165.0454,4,8.9805,8.980799999999997,NaN,5120.0,100.0,0.23864418294270837,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,12,0.0,0,0.0,1200.0,0.0,10338.405801234112,0.0,10338.405801234112,0.0,8.9805,1260.3650000000005,14244.908000000001,0.7017815211101053,384,27556.416999999983,128,437817.50659999996,4,0.0,4,4368.1386999999995,2,1679.0300000000002,1774.6647,20.147036586107113,577.9959,0,0,540,540,"LD10 + government reserve, land levy, land dividend",sumsy,1,-1.6007106751203537e-10
