round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,27415.10320000004,0.0,27537.111999999994,0.0,3522.536,,0.0,3522.536,0.0,0.0,0.0,0.0,0.00375,45.692,0.0,0.0,1.0,3950.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.7000568627451,3.4306039215686277,11.130660784313728,1.116599999999999,3.289188235294118,4.405788235294117,0.0,0.0,0.0,0.0,0,0,0.0,0.0,45.692,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.00880000000001,122.00880000000001,0.0,3,3542.0480000000002,528.7048000000001,4591.4483,473.1572000000044,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3290.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.7291803278688764,3.920000000000001,320.0,89.0,160.0,2048.0,732.0,204.0,329,0,0,0,55,34.0,2048.0,20638.968000000015,2109.0648,3125.3872,768,0,0,128,0.03493539937867851,0.2387314350536096,0.07187142533733404,0,5712.296000000011,445.0,55,0,0.0,0,0,0,0.0,0,0.0,29267.2960000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,206.0,1495.9912,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0130829567337445,384,15400.471999999992,128,13866.823999999993,4,-6136.7752,4,-7220.852800000001,2,114.1687999999996,-3476.844,11.25,0,0,160,160,5 + government bonds,debt,6,7.275957614183426e-12
2,512,4,4,26775.237600000026,0.0,26978.0045,0.0,5025.152599999999,,0.0,3346.4092,1678.743399999999,0.0,1678.743399999999,0.0,0.00375,369.7049,0.0,0.0,1.0,2340.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.32513980392157,3.200818823529412,11.525958627450981,1.5805209803921574,2.9640666666666666,4.544587647058824,0.0,0.0,0.0,0.0,0,0,0.0,0.0,369.70490000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,202.7669,259.6749,0.0,11,81.59889999999999,721.4644999999999,6142.8846,1179.0102000000313,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1680.0,0.0,0.0054250501256337645,4.820721654275067,5.500030263157897,1.8500000000000014,1.1232864035087733,3.553847161572035,3.8023999999999996,912.0,1076.0,456.0,2048.0,1374.0,204.0,168,0,0,2,51,37.0,2048.0,18879.07749999999,2183.1032000000005,3765.1934,768,0,0,128,0.07649770388799126,0.2593187052686712,0.09721333421942902,0,6265.900499999963,5187.096499999972,51,0,640.0,0,0,0,0.0,0,0.0,29162.041600000048,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1184.000000000001,256.0,1578.1586,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791033820594764,384,14968.72099999999,128,14193.320600000001,4,-5922.9767999999995,4,-6405.686599999999,2,195.3188999999987,-2976.7043,11.25,0,0,456,456,5 + government bonds,debt,6,7.275957614183426e-12
3,512,4,4,27537.33699999997,0.0,27777.801700000004,0.0,5665.423999999999,,0.0,3170.2824,2495.1415999999986,0.0,816.3982000000002,6.29365199999999,0.00375,327.7705,0.0,0.0,1.0,1896.6560693308534,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,13.03981805300622,2.9330384076763587,15.972856460682578,1.6938203157339748,2.8645686736648432,4.558388989398818,0.0,0.0,0.0,0.0,0,0,0.0,0.0,327.7705,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,240.4647,394.54409999999996,0.0,14,1482.0015000000008,719.9021,4173.0255,1237.4764000000241,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1260.3177999999996,0.0,0.0074912524712721345,4.734723384895388,5.444745708955206,1.8998750000000058,1.3351856343283615,3.4871246143183363,3.6883279999999994,1072.0,1099.0,536.0,2045.3333333333335,1534.0,204.0,127,0,0,1,60,53.0,2048.0,18158.8445,3509.2355,3829.1029000000003,768,0,0,128,0.07494529235937608,0.3465555392011719,0.11720032095515709,0,6415.522399999993,5203.461000000032,60,0,640.0,0,0,0,0.0,0,0.0,33464.5608684211,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1215.9200000000037,256.0,1712.3836000000001,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4905782914730563,384,14458.399500000012,128,19006.161368421075,4,-5746.1912,4,-6166.417100000001,2,233.40869999999865,-2842.5119,16.8492960526316,0,0,536,536,5 + government bonds,debt,6,7.275957614183426e-12
4,512,4,4,26905.025699999984,0.0,27171.35660000001,0.0,6330.1896,,0.0,2994.1556,3336.034,0.0,840.8923999999998,9.354429874999989,0.00375,304.5895,0.0,0.0,1.0,1864.8603977842304,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.827150797197492,2.970573356433928,18.797724153631417,1.872471232768588,2.7317652774476175,4.6042365102162055,0.0,0.0,0.0,0.0,0,0,0.0,0.0,304.5895,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,266.33090000000004,536.7295999999997,0.0,21,164.14849999999998,796.4598000000001,3463.0776000000005,1202.1210999999792,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1239.8747999999994,0.0,0.009439262911788503,4.6116529466791505,5.421397781885409,1.952555312500003,1.4297415896487995,3.374498760884826,3.5776781599999987,1082.0,1069.0,541.0,2046.6666666666665,1544.0,204.0,125,0,0,1,59,40.0,2048.0,17514.22639999999,3513.9662000000003,3647.752,768,0,0,128,0.078898013463643,0.38808166671055644,0.12492710245348126,0,6326.06059999999,4929.857000000012,59,0,640.0,0,0,0,0.0,0,0.0,36060.68940746271,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1249.635400000002,256.0,1924.4915999999998,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3623369634043152,384,14066.900700000002,128,21993.78870746272,4,-5537.2452,4,-6172.408,2,259.6668000000009,-2689.5661,20.027784514925422,0,0,541,541,5 + government bonds,debt,6,7.275957614183426e-12
5,512,4,4,26272.325999999983,0.0,26548.530000000013,0.0,6967.654099999999,,0.0,2818.0288,4149.625299999999,0.0,813.5913000000002,12.506788124999993,0.00375,300.8029,0.0,0.0,1.0,1792.5203241842798,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,17.673930206999238,2.899592801297769,20.573523008297006,1.775478825387075,2.836256232417379,4.611735057804453,0.0,0.0,0.0,0.0,0,0,0.0,0.0,300.8029,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,276.20400000000006,675.9151999999996,0.0,28,163.1517,795.8514,4815.198699999998,1178.7491000000045,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1183.7831000000003,0.0,0.010852402724029406,4.491987078651685,5.3240314232901795,1.9939414062500038,1.5594541589648805,3.2443748633171388,3.4703478151999994,1082.0,1068.0,541.0,2046.6666666666667,1544.0,204.0,125,0,0,1,58,27.0,2048.0,16821.970800000017,3490.7643,3461.3816,768,0,0,128,0.07165350183731167,0.4117412387603765,0.1315201913705304,0,6158.814299999982,4797.4421999999995,58,0,640.0,0,0,0,0.0,0,0.0,37246.466212754116,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1276.1225000000024,256.0,2197.4064,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2959899750848194,384,13751.109100000005,128,23495.357112754176,4,-5356.2318000000005,4,-6183.418399999999,2,269.9318999999997,-2517.2259,21.446123844731993,0,0,541,541,5 + government bonds,debt,6,7.275957614183426e-12
6,512,4,4,25684.72089999997,0.0,25962.61590000001,0.0,7573.840699999999,,0.0,2641.902,4931.938699999999,0.0,782.3134000000005,15.557074124999996,0.00375,300.4077,0.0,0.0,1.0,1734.2887699759285,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.395503706948215,2.7545430011213305,23.150046708069546,1.8138588222748213,2.763114254802646,4.576973077077468,0.0,0.0,0.0,0.0,0,0,0.0,0.0,300.4077,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,277.8950000000001,812.0090999999994,0.0,41,206.8467,794.4518,1232.5792,1157.3600999999744,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1141.3493000000003,0.0,0.010490436233569211,4.371836827458232,5.228453419593329,2.027649374999998,1.6524301293900192,3.1212462398847967,3.366237380743999,1082.0,1078.0,541.0,2046.6666666666665,1544.0,204.0,126,0,0,0,49,32.0,2048.0,16102.436000000009,3411.5015000000003,3363.6337,768,0,0,128,0.07342188267643923,0.4434606864804691,0.1404008910077772,0,5997.564799999999,4712.840099999974,49,0,640.0,0,0,0,0.0,0,0.0,38741.77771127538,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1297.6955999999986,256.0,2506.742,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2377573605107492,384,13122.372200000018,128,25619.40551127543,4,-5231.2793,4,-6105.8063,2,272.01480000000043,-2341.4943000000003,23.39181238447321,0,0,541,541,5 + government bonds,debt,6,7.275957614183426e-12
7,512,4,4,25065.437300000012,0.0,25341.24789999998,0.0,8226.264499999996,,0.0,2465.7752,5760.489299999996,0.0,828.5505999999996,18.489447375,0.00375,293.3279,0.0,0.0,1.0,1747.746948721945,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.37660764847312,2.749054935527087,25.125662584000207,1.844726922877422,2.78486816781878,4.629595090696202,0.0,0.0,0.0,0.0,0,0,0.0,0.0,293.3279,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,275.8106,945.3619,0.0,54,176.0494,795.3330000000002,2406.4517,1119.9494000000047,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1170.6683999999996,0.0,0.01338743364201505,4.25787938432836,5.183474487895755,2.0612036666666693,1.6058020484171351,3.0581991192266202,3.2652502593216797,1074.0,1072.0,537.0,2048.0,1520.0,204.0,131,0,0,2,50,32.0,2048.0,15629.56340000001,3372.0185,3202.915,768,0,0,128,0.07404450486461633,0.4618248712743853,0.14017125747333647,0,5854.823100000006,4564.446700000002,50,0,600.0,0,0,0,0.0,0,0.0,39882.79199057307,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1236.7222000000015,240.0,2567.6125,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,131,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1829998717307049,384,12811.848100000001,128,27070.943890573017,4,-5066.5470000000005,4,-6091.165,2,270.3224000000007,-2172.4473,24.786451940850288,0,0,537,537,5 + government bonds,debt,6,7.275957614183426e-12
8,512,4,4,24514.471499999996,0.0,24786.082999999988,0.0,8941.939799999995,,0.0,2289.6484,6652.291399999995,0.0,891.8021000000001,21.59573875000001,0.00375,292.0199,0.0,0.0,1.0,1763.7264117334994,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.239015387778657,2.6656254769640975,25.904640864742753,2.289397272938028,2.6901405802630234,4.979537853201051,0.0,0.0,0.0,0.0,0,0,0.0,0.0,292.0199,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,271.61150000000015,1075.736,0.0,67,243.4191,794.3849000000004,4667.052900000001,1080.6773000000078,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1201.6894999999997,0.0,0.012488532296159512,4.202234277879313,5.1290749999999985,2.092172426470586,1.563671641791044,2.9542271248204073,3.167292751542029,1072.0,1094.0,536.0,2045.3333333333333,1496.0,204.0,137,0,0,3,54,51.0,2048.0,15351.11270000001,3403.4664000000002,3143.2621,768,0,0,128,0.09117274686574928,0.47084918927525576,0.14342528791543274,0,5670.6842000000015,4597.2442999999685,54,0,544.0,0,0,0,0.0,0,0.0,39298.93239776537,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1138.1417999999987,218.0,2324.6104,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,137,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.150247397190865,384,12351.451599999993,128,26947.480797765395,4,-4830.8838000000005,4,-5975.4578999999985,2,266.51529999999906,-1997.6285,24.087030726257026,0,0,536,536,5 + government bonds,debt,6,7.275957614183426e-12
9,512,4,4,23910.78440000001,0.0,24177.979199999987,0.0,9697.394199999995,,0.0,2113.5216,7583.872599999995,0.0,931.5812,24.93973550000002,0.00375,285.3211,0.0,0.0,1.0,1764.9616017766339,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.622426403395124,2.5214481120318952,26.143874515427022,2.3923027613158188,2.68759315440426,5.079895915720079,0.0,0.0,0.0,0.0,0,0,0.0,0.0,285.3211,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,267.19480000000016,1203.8854000000013,0.0,77,193.91520000000003,797.6023000000001,3823.5749,1039.207000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1210.2694,0.0,0.010860804836684066,4.26066637931034,5.076620856610804,2.0811380566801607,1.5433435754189955,2.8397533319892148,3.072273968995767,1074.0,1044.0,537.0,2044.0000000000002,1478.0,204.0,141,0,0,1,46,26.0,2048.0,15053.042099999999,3453.559,3070.1127,768,0,0,128,0.09631466656590715,0.47739809205204,0.13807431054564678,0,5482.3159,4448.135699999995,46,0,494.0,0,0,0,0.0,0,0.0,38837.7350134328,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1028.0821999999994,198.0,2048.7495,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,141,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1132890893590839,384,12048.019799999995,128,26789.715213432824,4,-4576.575900000001,4,-5873.2473,2,262.4905999999993,-1828.2005,23.45507462686566,0,0,537,537,5 + government bonds,debt,6,7.275957614183426e-12
10,512,4,4,23349.589599999996,0.0,23611.363299999986,0.0,10580.373299999994,,0.0,1937.3948,8642.978499999994,0.0,1059.1059,28.43282987500002,0.00375,266.73,0.0,0.0,1.0,1863.7879224152548,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.52961793890861,2.3363315795159676,25.86594951842458,2.3814775599002505,2.5361247303991172,4.917602290299368,0.0,0.0,0.0,0.0,0,0,0.0,0.0,266.73,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,261.7737000000002,1329.0633000000012,0.0,93,236.5036,797.6983999999995,2930.2718999999997,1001.2242000000133,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1301.3797000000013,0.0,0.011470363338622927,4.182052062328139,5.079338317757002,2.057251532033426,1.5758990654205594,2.820719876178791,2.9801057499258943,1070.0,1091.0,535.0,2046.6666666666667,1436.9999999999998,204.0,152,0,0,0,50,43.0,2048.0,14933.315600000013,3503.938,3136.2342,768,0,0,128,0.09564340806245686,0.4810193443234252,0.13966260530642516,1,5463.365599999981,4562.618799999999,50,0,359.0,0,0,0,0.0,0,0.0,38784.732288826825,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,738.5533,161.0,1509.3718,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,152,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0654266632859992,384,12000.5142,128,26784.218088826827,4,-4321.9816,4,-5631.7658,2,257.46150000000154,-1670.6648,23.150153631284933,0,0,535,535,5 + government bonds,debt,6,7.275957614183426e-12
