round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,24353.06300000022,0.0,1969.0,619.0,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,91.279,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.034166274509804,2.99621568627451,27.030381960784315,1.6776494117647058,2.906950196078432,4.5845996078431375,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,186.13700000000077,619.0,92.4720000000004,0.0,0.0,0.0,0.0,0.0,0,252.3552,2560.0,186.13700000000077,92.4720000000004,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.4662357414448666,3.920000000000001,320.0,89.0,160.0,2048.0,526.0,204.0,380,0,0,0,56,33.0,2048.0,18475.772800000002,2276.978,3256.6780000000003,732,36,0,122,0.06314451879449967,0.4743064223609683,0.7522401046450333,0,4410.595200000001,445.0,56,0,0.0,0,0,0,0.0,0,0.0,47836.772799999526,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5067764046912873,390,15757.526799999925,122,32079.246000000076,4,2276.978,4,3256.6780000000003,2,252.3552,-469.721,37.5,0,0,160,160,2 + government,sumsy,5,-8.731149137020111e-11
2,512,4,4,26678.109300000055,0.0,10259.687400000003,2661.087400000003,1030.7210000000002,,1030.7210000000002,0.0,0.0,0.0,0.0,0.0,0.0025,114.6936,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.735155686274513,2.6909898039215685,27.42614549019608,1.7479111764705877,2.8075803921568627,4.555491568627451,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.5800000000000001,0.0,2,2560.0,234.95370000000014,3627.5337000000018,116.54579999999989,0.0,0.0,0.0,0.0,0.0,112,142.2217,2560.0,234.95370000000014,116.54579999999989,268.0,0.0,0.0,0.015,4.795180633147107,5.470499122807027,NaN,1.1239768656716398,3.5205330948121354,3.8023999999999996,912.0,1074.0,456.0,2048.0,1118.0,204.0,232,0,0,2,52,33.0,2048.0,17580.294400000017,2687.0519,6153.8477,580,188,0,97,0.08036673364810087,0.47263535195559214,0.489668481658168,0,6749.299399999981,5150.023999999993,52,0,0.0,0,0,0,0.0,0,0.0,49155.8218000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,232,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5150532016545151,415,23128.03309999998,97,26027.78869999999,4,2754.5519000000004,4,4089.186099999999,2,394.5769,-916.0274000000002,37.5,0,0,456,456,2 + government,sumsy,5,-8.731149137020111e-11
3,512,4,4,28954.01940000003,0.0,11519.892699999995,1725.1674999999996,1454.0468000000003,,1454.0468000000003,0.0,0.0,0.0,0.0,0.0,0.0025,138.7783,0.0,0.0,1.0,538.0193999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,37.83284117550798,3.1332118258089707,40.96605300131695,2.2974554179119338,2.7544046111127236,5.051860029024658,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-23.05109999999988,0.0,5,2560.0,284.0898999999999,4001.9515000000006,140.95769999999987,0.0,0.0,0.0,0.0,0.0,162,208.1166,2560.0,284.0898999999999,140.95769999999987,268.0,0.0,0.0,0.015,4.725969230769281,5.436215613382886,NaN,1.3365951428571425,3.225463182817848,3.6883279999999994,1076.0,1079.0,538.0,2045.3333333333335,1282.0000000000002,204.0,190,0,0,0,52,36.0,2048.0,18244.997500000023,3034.0764,7328.0506000000005,580,188,0,97,0.09974513389517825,0.5268335587757966,0.41049212584682326,0,7098.88489999999,5099.320800000054,52,0,0.0,0,0,0,0.0,0,0.0,61684.644204477496,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5765938727472306,415,24152.44430000001,97,37532.19990447755,4,6969.458937313413,4,4185.820600000001,2,590.0758000000001,-1315.2685000000004,56.198843283581986,0,0,538,538,2 + government,sumsy,5,-8.731149137020111e-11
4,512,4,4,31185.049599999973,0.0,11798.603128571436,541.4440999999998,1845.5206000000003,,1845.5206000000003,0.0,0.0,0.0,0.0,0.0,0.0025,161.1089,0.0,0.0,1.0,530.2521000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,45.452527189436935,3.444344199260198,48.896871388697136,3.1208234683901486,2.819871196587255,5.9406946649774035,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-57.413924999999765,0.0,6,2560.0,328.96979999999974,1666.7235,163.35939999999994,0.0,0.0,0.0,0.0,0.0,173,182.1384,2560.0,328.96979999999974,163.35939999999994,268.0,0.0,0.0,0.015,4.568597667910503,5.34935988805969,NaN,1.4429558139534855,3.0047617744071373,3.5776781599999987,1072.0,1072.0,536.0,2048.0,1278.0,204.0,192,0,0,1,48,37.0,2048.0,20109.202799999977,3350.7444,7381.855100000001,576,192,0,97,0.11433644848805868,0.5415822913824042,0.40213732486344056,0,6794.787499999976,4897.53670000006,48,0,0.0,0,0,0,0.0,0,0.0,69395.9875428571,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5961262649192505,415,25015.859099999987,97,44380.1284428571,4,9637.23874285714,4,4401.891800000001,2,759.5966999999998,-1684.4117000000003,66.82975714285713,0,0,536,536,2 + government,sumsy,5,-8.731149137020111e-11
5,512,4,4,33371.3407,0.0,13070.592762790691,1534.3258999999998,2197.0076000000004,,2197.0076000000004,0.0,0.0,0.0,0.0,0.0,0.0025,183.0251,0.0,0.0,1.0,512.5959000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,51.61062540776913,3.6082784581377005,55.21890386590683,3.298152831265795,2.923208112307669,6.221360943573464,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-91.4974499999995,0.0,11,2560.0,373.70889999999997,4716.1345,185.57739999999998,0.0,0.0,0.0,0.0,0.0,187,198.6857,2560.0,373.70889999999997,185.57739999999998,268.0,0.0,0.0,0.015,4.453708401826479,5.262425884543788,NaN,1.5754689149560126,2.9085489518277914,3.4703478152,1074.0,1095.0,537.0,2046.6666666666667,1280.0,204.0,192,0,0,2,63,47.0,2048.0,20809.7887,3600.0522999999994,8579.7889,572,196,0,97,0.12431300786668631,0.5511084329687312,0.4197046270107272,0,6704.247600000007,4876.810699999995,63,0,0.0,0,0,0,0.0,0,0.0,73930.88454186035,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6080454531560648,415,25755.729899999995,97,48175.15464186037,4,11273.474913953462,4,4650.4058,2,940.0612,-2013.9825000000003,72.14779069767428,0,0,537,537,2 + government,sumsy,5,-8.731149137020111e-11
6,512,4,4,35514.97939999999,0.0,12789.617699999983,343.5254,2513.6907,,2513.6907,0.0,0.0,0.0,0.0,0.0,0.0025,204.3415,0.0,0.0,1.0,499.70820000000026,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,58.29797022318334,3.7553443814755254,62.053314604658866,4.603564594690838,3.109249404473686,7.712813999164524,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-135.55957499999926,0.0,15,2560.0,416.3613000000004,3481.3456,206.90110000000004,0.0,0.0,0.0,0.0,0.0,202,201.9927,2560.0,416.3613000000004,206.90110000000004,268.0,0.0,0.0,0.015,4.344930776515129,5.1924437499999865,NaN,1.6367341954022987,2.812341717685382,3.3662373807439994,1088.0,1056.0,544.0,2045.3333333333335,1294.0,204.0,187,0,0,2,48,33.0,2048.0,22896.580400000003,3823.3009999999995,8388.7638,572,196,0,97,0.14953259864025426,0.5609463469183751,0.3914003073478085,0,6610.914000000004,4588.246899999976,48,0,0.0,0,0,0,0.0,0,0.0,79354.7189677419,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,187,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6190200345953178,415,26689.822200000006,97,52664.89676774195,4,13175.647566568923,4,4677.242800000002,2,1114.7255999999998,-2309.3492,78.77344574780064,0,0,544,544,2 + government,sumsy,5,-8.731149137020111e-11
7,512,4,4,37616.82139999998,0.0,12461.59739999999,297.80999999999995,2796.8479999999995,,2796.8479999999995,0.0,0.0,0.0,0.0,0.0,0.0025,225.1606,0.0,0.0,1.0,487.49880000000036,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,62.21719621957077,4.107763045363496,66.32495926493428,5.648229159030631,3.4062360403798793,9.05446519941051,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-177.44530000000069,0.0,20,2560.0,458.1580000000001,3563.5342,227.7727999999998,0.0,0.0,0.0,0.0,0.0,207,200.51819999999998,2560.0,458.1580000000001,227.7727999999998,268.0,0.0,0.0,0.015,4.252350137236978,5.139445403377128,NaN,1.600784569732938,2.7387050836936613,3.2652502593216792,1066.0,1093.0,533.0,2045.3333333333333,1272.0,204.0,193,0,0,3,55,50.0,2048.0,24722.363400000024,4062.0608999999995,8406.7183,572,196,0,97,0.15537001947040774,0.5611661095961111,0.4107694566326747,0,6388.771899999978,4647.818700000017,55,0,0.0,0,0,0,0.0,0,0.0,82444.09218850565,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6223723744857901,415,27482.140399999997,97,54961.95178850574,4,14395.102814942527,4,4913.048499999998,2,1286.8584,-2571.6873999999993,81.83670977011494,0,0,533,533,2 + government,sumsy,5,-8.731149137020111e-11
8,512,4,4,39677.21259999996,0.0,12091.201700000018,256.1675,3048.8026,,3048.8026,0.0,0.0,0.0,0.0,0.0,0.0025,245.8323,0.0,0.0,1.0,477.1152000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,62.901051567136285,4.448793222582641,67.34984478971893,6.4880611785801605,3.7705131608190556,10.258574339399216,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-217.01872500000107,0.0,23,2560.0,499.60879999999986,2267.9613000000004,248.47999999999996,0.0,0.0,0.0,0.0,0.0,210,253.05829999999997,2560.0,499.60879999999986,248.47999999999996,268.0,0.0,0.0,0.015,4.1840289349669835,5.0298407821228945,NaN,1.5657395894428145,2.6555060042171634,3.167292751542029,1074.0,1061.0,537.0,2044.0,1280.0000000000002,204.0,190,0,0,0,52,35.0,2048.0,26589.985800000013,4288.946800000001,8299.3894,572,196,0,97,0.16056221476232913,0.5527950332581588,0.4114300894048126,0,6260.776400000014,4439.2546999999695,52,0,0.0,0,0,0,0.0,0,0.0,82817.65739436205,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6173570224987857,415,28206.295399999995,97,54611.36199436202,4,14649.977983382792,4,5023.570999999998,2,1459.104,-2802.9703,80.03922848664689,0,0,537,537,2 + government,sumsy,5,-8.731149137020111e-11
9,512,4,4,41696.653499999986,0.0,11688.045699999977,223.61769999999999,3272.4201999999996,,3272.4201999999996,0.0,0.0,0.0,0.0,0.0,0.0025,266.2358,0.0,0.0,1.0,469.4499000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,62.8396425122103,4.856055439958033,67.69569795216833,7.350031884680082,4.223358207085609,11.57339009176569,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-254.17964999999975,0.0,27,2560.0,540.5590999999998,3173.6739,268.93189999999987,0.0,0.0,0.0,0.0,0.0,213,278.0319,2560.0,540.5590999999998,268.93189999999987,268.0,0.0,0.0,0.015,4.131004779411757,5.010326987060986,NaN,1.5444205797101447,2.617472085794525,3.072273968995767,1082.0,1088.0,541.0,2048.0,1288.0,204.0,190,0,0,1,58,42.0,2048.0,28354.255600000008,4542.9919,8255.1383,572,196,0,97,0.16573127620413564,0.5432810791799625,0.4046506170923516,0,6195.879599999984,4494.533199999992,58,0,0.0,0,0,0,0.0,0,0.0,83081.86855806438,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6118513980083395,415,28883.244599999998,97,54198.62395806448,4,14940.877876539584,4,5197.1714,2,1607.3203,-3006.1843999999996,78.28697947214073,0,0,541,541,2 + government,sumsy,5,-8.731149137020111e-11
10,512,4,4,43675.80670000001,0.0,11258.523900000002,197.2625,3469.6825999999996,,3469.6825999999996,0.0,0.0,0.0,0.0,0.0,0.0025,286.342,0.0,0.0,1.0,463.4982000000007,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,64.03887358284418,4.8885578595792865,68.92743144242345,9.051534754858801,4.273722159474397,13.325256914333197,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-288.8744750000003,0.0,31,2560.0,580.8468000000005,3382.544,289.0636000000002,0.0,0.0,0.0,0.0,0.0,215,242.40040000000002,2560.0,580.8468000000005,289.0636000000002,268.0,0.0,0.0,0.015,4.091261105904404,4.944621892393328,NaN,1.5123393586005824,2.577178221378481,2.9801057499258943,1078.0,1067.0,539.0,2046.6666666666665,1284.0,204.0,191,0,0,1,50,36.0,2048.0,30189.780100000007,4795.0261,8162.2581,572,196,0,97,0.18700035747853838,0.5400305446452152,0.40327840290412165,0,6081.861899999985,4365.3755999999985,50,0,0.0,0,0,0,0.0,0,0.0,83737.8968797102,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111108330057569,415,29462.91339999997,97,54274.98347971016,4,15364.281381159417,4,5322.153499999999,2,1740.5657999999999,-3183.3405999999995,77.22102898550723,0,0,539,539,2 + government,sumsy,5,-8.731149137020111e-11
