round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,27638.61700000005,0.0,27760.743399999996,0.0,3511.36,,0.0,3511.36,0.0,0.0,0.0,0.0,0.00375,44.832,0.0,0.0,1.0,3940.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.583188235294119,3.5384470588235297,11.121635294117649,1.002035294117647,3.4008176470588234,4.40285294117647,0.0,0.0,0.0,0.0,0,0,0.0,0.0,44.832,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,2,3742.5510000000004,529.2139999999999,4472.151200000001,473.4732000000046,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,77.0,160.0,2048.0,734.0,204.0,328,0,0,0,47,30.0,2048.0,20703.47100000002,2130.7396,3088.946,768,0,0,128,0.03230401946022221,0.23652484579802713,0.07174144691524398,0,5708.960000000012,385.0,47,0,0.0,0,0,0,0.0,0,0.0,29323.9600000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,208.0,1670.6284,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01803984440203,384,15461.127999999992,128,13862.831999999997,4,-5108.1672,4,-6250.3608,2,114.28639999999919,-3466.5280000000002,11.25,0,0,160,160,7 + two more theatres,debt,8,0.0
2,512,4,4,27552.866899999946,0.0,27756.8105,0.0,5050.902599999999,,0.0,3335.792,1715.110599999999,0.0,1715.110599999999,0.0,0.00375,371.5421,0.0,0.0,1.0,2370.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.32106431372549,3.171790392156863,11.492854705882355,1.55384294117647,2.9709137254901963,4.524756666666667,0.0,0.0,0.0,0.0,0,0,0.0,0.0,371.5421,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,203.94359999999995,260.9104000000001,0.0,5,647.2491000000001,732.9991999999999,2176.1941,1174.7255000000312,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0,0.005443194057148389,4.797940771349855,5.501832815964504,1.8500000000000014,1.124211973392462,3.553792375366548,3.802399999999999,902.0,1089.0,451.0,2048.0,1364.0,204.0,171,0,0,1,48,48.0,2048.0,18895.354200000005,2223.9809,3829.5269,768,0,0,128,0.07741954325454659,0.2585760254243994,0.0967447420972416,0,6261.210199999963,5224.957499999992,48,0,640.0,0,0,0,0.0,0,0.0,29176.11509999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1184.000000000001,256.0,2232.4628,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7874946117755146,384,15020.6182,128,14155.496899999993,4,-4892.2327000000005,4,-5351.4866999999995,2,196.49560000000233,-2964.2499,11.25,0,0,451,451,7 + two more theatres,debt,8,0.0
3,512,4,4,27808.7298,0.0,28053.631600000004,0.0,5695.483700000001,,0.0,3160.224,2535.259700000001,0.0,820.1491000000005,6.429894749999988,0.00375,308.4436,0.0,0.0,1.0,1901.204646280993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.802269941949833,3.209229719881487,16.01149966183132,1.7836318145115264,2.9321572185036953,4.715789033015222,0.0,0.0,0.0,0.0,0,0,0.0,0.0,308.4436,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,244.90179999999998,399.6140000000001,0.0,6,1018.2959999999999,762.4331000000002,2108.732,1216.636200000017,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1267.8770000000009,0.0,0.009259498571399506,4.711712699905972,5.466877425373104,1.9018437500000065,1.3342167910447733,3.480894707834555,3.688327999999999,1072.0,1063.0,536.0,2046.6666666666667,1534.0,204.0,128,0,0,1,55,33.0,2048.0,18319.05630000002,2934.9363000000003,3736.8409,768,0,0,128,0.07687283214687568,0.33863542902426147,0.11701031965275477,0,6414.517100000015,5008.550600000048,55,0,640.0,0,0,0,0.0,0,0.0,33681.88913348114,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1217.1800000000042,256.0,2509.4527,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4859771694766974,384,14731.967500000006,128,18949.921633481154,4,-4705.0299,4,-5285.8795,2,237.84580000000147,-2851.7804,16.86317960088693,0,0,536,536,7 + two more theatres,debt,8,0.0
4,512,4,4,27168.415700000005,0.0,27438.4616,0.0,6392.116700000001,,0.0,2984.656,3407.4607000000015,0.0,872.2010000000006,9.505101374999999,0.00375,325.9984,0.0,0.0,1.0,1874.2720116829805,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.872887370715965,2.8423782307674244,18.715265601483388,1.9436209116731773,2.6864131301973684,4.630034041870546,0.0,0.0,0.0,0.0,0,0,0.0,0.0,325.9984,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,270.04589999999996,543.2825999999999,0.0,16,173.1117,813.4258000000004,1378.0221000000001,1220.5021999999808,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1252.3269000000003,0.0,0.010779650851388649,4.591667560321677,5.417518552875698,1.9477198437500047,1.432190909090909,3.3710016729788967,3.5776781599999983,1078.0,1119.0,539.0,2046.6666666666667,1540.0,204.0,126,0,0,1,70,59.0,2048.0,17440.23349999999,2970.1215,3789.9286,768,0,0,128,0.08201147723712077,0.3876739044990205,0.12164228363720309,0,6321.115600000033,5138.075999999956,70,0,640.0,0,0,0,0.0,0,0.0,36046.340632835774,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1246.540700000003,256.0,2642.1337,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3591008890860616,384,14190.693999999987,128,21855.646632835786,4,-4514.829199999999,4,-5074.498599999999,2,263.381900000001,-2658.6576,20.0132518656716,0,0,539,539,7 + two more theatres,debt,8,0.0
5,512,4,4,26546.263199999998,0.0,26825.851400000007,0.0,6965.726500000001,,0.0,2809.088,4156.6385,0.0,749.1778000000002,12.77514775,0.00375,296.4304,0.0,0.0,1.0,1757.857742338026,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,17.70134869050834,2.9041130250495018,20.60546171555784,2.0314961349918153,2.7395421165432583,4.7710382515350735,0.0,0.0,0.0,0.0,0,0,0.0,0.0,296.4304,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,279.5882,683.9954999999998,0.0,25,191.04709999999997,813.1995999999999,3736.6377999999995,1182.378799999994,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1151.7559,0.0,0.012430108699631522,4.4828608170844975,5.305437226277348,1.9920425000000068,1.5674189781021899,3.2396531565869644,3.4703478152,1096.0,1077.0,548.0,2046.6666666666665,1558.0,204.0,122,0,0,1,58,55.0,2048.0,16862.019700000004,2990.0874999999996,3616.7322999999997,768,0,0,128,0.08305343197141934,0.410958859462484,0.13464221349134808,0,6172.131899999989,4828.041100000004,58,0,640.0,0,0,0,0.0,0,0.0,37255.63247272727,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1274.9072000000044,256.0,2780.9932999999996,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,122,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.293837722347002,384,13859.992300000013,128,23395.640172727275,4,-4339.8477,4,-5089.4017,2,273.3161000000001,-2512.6576,21.482863636363636,0,0,548,548,7 + two more theatres,debt,8,0.0
6,512,4,4,25915.674199999998,0.0,26197.06830000001,0.0,7574.825100000002,,0.0,2633.52,4941.305100000001,0.0,784.6665999999998,15.58373687500001,0.00375,286.7206,0.0,0.0,1.0,1729.6871512426158,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.15569636273984,2.8724470639557995,23.02814342669564,2.1300117197574373,2.8598470042996476,4.989858724057084,0.0,0.0,0.0,0.0,0,0,0.0,0.0,286.7206,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,281.39410000000004,821.8980999999993,0.0,35,182.79420000000002,813.3831999999998,2938.4651,1140.5094000000163,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1137.9472999999991,0.0,0.011192970528205805,4.35086405353728,5.228291465677191,2.019267656250002,1.6508324675324684,3.1182270310747606,3.3662373807439985,1078.0,1046.0,539.0,2046.6666666666667,1540.0,204.0,126,0,0,1,54,24.0,2048.0,16550.994999999984,2960.6429,3417.1043999999997,768,0,0,128,0.08713501238426402,0.43871164852928834,0.14257424576346645,0,5976.026899999994,4551.003799999995,54,0,640.0,0,0,0,0.0,0,0.0,38959.592927737234,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1292.3313000000014,256.0,2700.2113,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.235048000605236,384,13479.347499999994,128,25480.24542773722,4,-4214.2768,4,-5130.7364,2,275.5140000000014,-2346.7994,23.51128467153285,0,0,539,539,7 + two more theatres,debt,8,0.0
7,512,4,4,25320.213700000026,0.0,25599.25000000001,0.0,8214.545999999998,,0.0,2457.952,5756.593999999999,0.0,815.2888999999999,18.525684625,0.00375,295.9098,0.0,0.0,1.0,1724.576411255079,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.262138802426197,2.7680215115722544,25.030160313998454,2.67560038331867,2.726786970537334,5.402387353856004,0.0,0.0,0.0,0.0,0,0,0.0,0.0,295.9098,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,279.0363,956.7241999999994,0.0,44,217.18129999999996,812.6418000000001,2440.9812,1125.7395999999942,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1150.257599999999,0.0,0.012020276723437081,4.2436716789668045,5.166927829313517,2.053351377633714,1.5938727272727287,3.0523718844329593,3.26525025932168,1078.0,1084.0,539.0,2046.6666666666667,1531.0,204.0,129,0,0,1,48,37.0,2048.0,16191.380500000001,2966.9961000000003,3314.6875999999997,768,0,0,128,0.10221161342073737,0.4601593600100611,0.1418505224497688,0,5852.708600000005,4600.140100000016,48,0,617.0,0,0,0,0.0,0,0.0,39921.051625974,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1266.9178000000015,247.0,2551.2397,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1864415795535364,384,13018.272099999995,128,26902.77952597402,4,-4052.9080999999996,4,-5074.860000000001,2,273.5481999999997,-2162.0422000000003,24.762487012987027,0,0,539,539,7 + two more theatres,debt,8,0.0
8,512,4,4,24674.941400000018,0.0,24949.939500000004,0.0,8890.0257,,0.0,2282.384,6607.6417,0.0,851.0476999999998,21.58261,0.00375,289.1417,0.0,0.0,1.0,1729.0133261098501,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.835822802289112,2.6756676201504055,25.51149042243952,2.812584525159023,2.6440507612655733,5.456635286424596,0.0,0.0,0.0,0.0,0,0,0.0,0.0,289.1417,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,274.9981000000001,1088.8697,0.0,56,168.68869999999998,813.9610000000001,5557.150500000002,1080.6381999999965,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1168.8453999999997,0.0,0.01253375192813877,4.148349350649361,5.14675617977529,2.0731469178082165,1.5464219101123606,2.951504019644322,3.167292751542029,1068.0,1078.0,534.0,2046.6666666666665,1508.0,204.0,134,0,0,2,52,41.0,2048.0,15749.90029999999,3069.4245,3168.8305,768,0,0,128,0.10856885879828848,0.4670025999155776,0.13869309744190383,0,5654.005199999991,4471.920600000011,52,0,584.0,0,0,0,0.0,0,0.0,39251.92661818186,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1210.7177999999985,234.0,2397.6444,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,134,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.158060437907648,384,12680.920900000001,128,26571.005718181834,4,-3795.4642,4,-5062.4239,2,269.9019000000007,-1993.2423,23.90809090909093,0,0,534,534,7 + two more theatres,debt,8,0.0
9,512,4,4,24065.994000000035,0.0,24335.63540000001,0.0,9602.6806,,0.0,2106.816,7495.8646,0.0,888.2229,24.773731124999994,0.00375,292.3619,0.0,0.0,1.0,1720.3785840538615,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.567424819211173,2.579932373014442,26.147357192225616,3.0767458542682147,2.601726063828622,5.678471918096837,0.0,0.0,0.0,0.0,0,0,0.0,0.0,292.3619,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,269.64140000000003,1217.752300000001,0.0,71,203.37590000000003,812.3233000000001,3910.5437000000006,1047.1332000000232,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1172.7953999999997,0.0,0.010415753091265719,4.229869943820223,5.062709665427496,2.0751956439393906,1.5321851301115261,2.8163378944349455,3.0722739689957668,1076.0,1068.0,538.0,2045.3333333333335,1494.0,204.0,138,0,0,1,51,35.0,2048.0,15285.08799999999,3182.6547,3200.6059,768,0,0,128,0.12113881771976032,0.47699023964297615,0.1393553539607102,0,5449.948299999995,4517.501099999998,51,0,528.0,0,0,0,0.0,0,0.0,38559.1677044944,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1095.7032999999983,212.0,2105.2835000000005,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,138,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1218590490538969,384,12133.0055,128,26426.162204494398,4,-3527.2185,4,-4872.355299999999,2,264.9372000000004,-1814.4541,23.19632865168541,0,0,538,538,7 + two more theatres,debt,8,0.0
10,512,4,4,24620.31130000001,0.0,24884.029400000003,0.0,10439.854099999999,,0.0,1931.248,8508.606099999999,0.0,1012.7415000000001,28.104440374999992,0.00375,258.3065,0.0,0.0,1.0,1824.7611579073846,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.417621330045915,2.533159282918344,25.95078061296426,2.887651941806815,2.611043984159349,5.498695925966164,0.0,0.0,0.0,0.0,0,0,0.0,0.0,258.3065,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,263.71810000000016,1343.6387000000009,0.0,86,1367.1013,812.7839999999999,2853.2512,992.1719000000047,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1266.4142000000022,0.0,0.011454853309985566,4.1464972485768445,5.051587523277479,2.055463966480445,1.546801862197393,2.8051050639393713,2.9801057499258943,1074.0,1054.0,537.0,2046.6666666666667,1448.0,204.0,149,0,0,1,41,25.0,2048.0,15327.292499999996,4448.4991,3115.1508999999996,768,0,0,128,0.11572096817093169,0.4788931370772016,0.14005334464035601,0,5424.973599999999,4370.408099999994,41,0,358.0,0,0,0,0.0,0,0.0,38731.897998884815,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,735.8560999999993,168.0,1471.0623,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,149,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0800402384422239,384,12149.180000000006,128,26582.717998884782,4,-3259.8895,4,-4799.5171,2,259.40590000000003,-1672.9415,22.982776951672893,0,0,537,537,7 + two more theatres,debt,8,0.0
