round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,5375.746,0.0,5403.22,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.853076923076925,2.730769230769231,10.583846153846157,1.9910769230769223,2.576923076923077,4.568,207.99999999999986,0.0,207.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,27.473999999999997,27.474,0.0,0,0.0,119.05400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,0.005,5.0,5.199999999999997,NaN,0.75,3.9199999999999986,3.920000000000001,80.0,15.0,40.0,512.0,82.0,0.0,107,0,0,0,9,6.0,512.0,4108.5999999999985,319.858,947.288,192,0,0,32,0.07833462128218849,0.29176460852502895,0.8238167564027938,0,343.6000000000001,75.0,9,0,0.0,0,0,0,0.0,0,0.0,6268.600000000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,107,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.790591049382715,96,3060.2,32,3208.4,4,-2119.2019999999998,4,-2016.8719999999998,2,27.47400000000016,0.0,11.25,0,0,40,40,1 + planning margin,debt,2,2.2737367544323206e-13
2,128,4,4,5272.124399999999,0.0,5311.639999999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.976672307692306,1.7445446153846156,10.72121692307692,2.299563076923076,1.692926153846154,3.9924892307692295,616.0931,207.99999999999986,616.0931,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,39.5156,54.489999999999995,0.0,4,14.974400000000001,118.596,206.0328,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,206.0327000000003,0.001759321293599002,4.801019696969697,5.50083125,NaN,1.1282526785714289,3.567199999999991,3.8023999999999996,224.0,264.0,112.0,512.0,226.0,0.0,71,0,0,1,9,6.0,512.0,3575.489599999997,154.4648,1542.1699999999998,192,0,0,32,0.15791203505738038,0.35352452681197444,0.628282936249964,0,734.3588000000009,1267.4692,9,0,0.0,0,0,0,0.0,0,0.0,5735.4896,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,71,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6370980904455164,96,2605.665699999999,32,3129.8238999999994,4,-2243.2551999999996,4,-1371.7500000000002,2,39.51560000000063,0.0,11.25,0,0,112,112,1 + planning margin,debt,2,2.2737367544323206e-13
3,128,4,4,5584.941099999995,0.0,5644.9263,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.951506907111943,1.8448436641118562,14.7963505712238,2.5016023815259327,1.8448436641118562,4.346446045637789,718.1639999999994,616.0930999999998,718.1639999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,59.98519999999999,81.0484,0.0,8,430.9551,118.13839999999999,630.899,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016109878188004638,4.689432330827075,5.440636363636359,NaN,1.3444719696969696,3.129253884711775,3.6883279999999994,264.0,266.0,132.0,510.6666666666667,266.0,0.0,61,0,0,0,10,6.0,512.0,3543.985199999997,356.73160000000007,1684.2243,192,0,0,32,0.14151408605275817,0.4262640444823351,0.44823670200691734,0,1215.8845999999999,1247.389000000002,10,0,0.0,0,0,0,0.0,0,0.0,6793.3529142857105,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0236550416995094,96,2443.6277999999998,32,4349.725114285715,4,-2424.5147,4,-1179.4557,2,59.98520000000008,0.0,16.923790178571434,0,0,132,132,1 + planning margin,debt,2,2.2737367544323206e-13
4,128,4,4,5700.132800000008,0.0,5761.699799999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,16.281851032254327,1.2012295344053103,17.483080566659638,3.3802385623089446,1.2012295344053103,4.581468096714255,714.9355000000012,718.1639999999995,714.9355000000012,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.56699999999998,107.83319999999998,0.0,8,254.7998,139.6081,229.5968,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008273893313549274,4.492558426966292,5.375454887218054,NaN,1.447284210526316,2.925516417910441,3.5776781599999987,266.0,267.0,133.0,512.0,268.0,0.0,61,0,0,3,14,6.0,512.0,3320.9992999999986,643.1143,1736.0192000000002,192,0,0,32,0.2040150730666368,0.49745129038261293,0.47321596303205893,2,976.5271999999992,1199.5131000000001,14,0,0.0,0,0,0,0.0,0,0.0,7193.07857272728,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.817053148970663,96,2110.9232999999995,32,5082.155272727272,4,-2305.1455,4,-1077.4208,2,61.56700000000001,0.0,20.167079545454545,0,0,133,133,1 + planning margin,debt,2,2.2737367544323206e-13
5,128,4,4,5576.0485000000035,0.0,5639.0366,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,18.774368444429527,1.1776988224510556,19.952067266880583,4.263512891509575,1.191739134692363,5.455252026201938,694.5772000000007,714.9355000000004,694.5772000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,62.98809999999998,136.02549999999997,0.0,8,28.4112,152.4955,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009869346597204365,4.381812734082395,5.222384962406021,NaN,1.5926932330827073,2.8428694029850714,3.4703478152,266.0,267.0,133.0,508.0,268.0,0.0,60,0,0,2,14,5.0,512.0,3126.412499999998,677.8794,1771.7566000000002,192,0,0,32,0.2574741179486868,0.5391608154082139,0.4818934882992725,4,973.7171999999993,1169.9439999999995,16,2,0.0,0,0,0,0.0,0,0.0,7292.951026315791,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7266612111486976,96,1784.6807000000001,32,5508.270326315788,4,-2196.3171999999995,4,-991.4433999999999,2,62.98810000000003,0.0,21.70926315789474,0,0,133,133,1 + planning margin,debt,2,2.2737367544323206e-13
6,128,4,4,5452.319899999997,0.0,5515.094899999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.675970062298425,0.6123449202565386,22.288314982554965,5.319452831141427,0.6123449202565386,5.931797751397966,695.5030999999993,694.5771999999996,695.5030999999993,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,62.77499999999998,163.64629999999994,0.0,8,28.2774,152.006,0.4435,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01136276828442227,4.271775757575751,5.19032164179104,NaN,1.6067716417910445,2.7762351851851768,3.3662373807439994,268.0,264.0,134.0,509.33333333333337,270.0,0.0,59,0,0,2,9,6.0,512.0,2963.9005,696.9644000000001,1791.455,192,0,0,32,0.3323322602576395,0.5862923200704171,0.4494917856451437,14,964.890900000001,1127.7487999999983,10,1,0.0,0,0,0,0.0,0,0.0,7548.855511278193,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,59,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6408479765627666,96,1540.4114000000006,32,6008.444111278197,4,-2103.169,4,-921.505,2,62.774999999999636,0.0,23.89039849624061,0,0,134,134,1 + planning margin,debt,2,2.2737367544323206e-13
7,128,4,4,5363.696999999996,0.0,5425.667300000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,23.129573369681218,0.38239546853805684,23.511968838219275,6.155739428715122,0.4300778547628562,6.585817283477978,665.7048000000001,695.5030999999992,665.7048000000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.97029999999999,190.67929999999996,0.0,8,62.7953,151.41819999999998,34.9576,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011641682751781287,4.173232061068696,5.1208061538461545,NaN,1.5460830769230771,2.6922251908397037,3.2652502593216792,260.0,262.0,130.0,509.3333333333333,262.0,0.0,62,0,0,2,8,6.0,512.0,2811.728300000002,752.8821,1799.0865999999999,192,0,0,32,0.3972565898681426,0.6230569957632226,0.48666163464532275,18,906.3538000000003,1093.3867999999984,9,1,0.0,0,0,0,0.0,0,0.0,7402.353528358207,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,62,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.624661679750623,96,1230.8316000000002,32,6171.521928358208,4,-1973.1880999999998,4,-863.6333999999998,2,61.97029999999995,0.0,24.101574626865666,0,0,130,130,1 + planning margin,debt,2,2.2737367544323206e-13
8,128,4,4,5264.5301,0.0,5325.8176,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7,7,24.237420610472437,-0.056559187682501136,24.180861422789935,7.450111053668651,0.059322218604825734,7.509433272273476,650.003799999999,665.7047999999998,650.003799999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.28749999999998,217.51579999999993,0.0,8,53.742999999999995,152.90990000000002,26.223699999999994,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01155879435397805,4.079993750000002,5.000029230769224,NaN,1.532966923076923,2.6282015267175534,3.167292751542029,260.0,256.0,130.0,509.3333333333333,262.0,0.0,62,1,1,6,9,5.0,511.0,2679.1724999999983,790.6105,1794.7470999999998,192,0,0,32,0.4899322076709318,0.6612763801717474,0.5226471398477488,32,887.8745,1044.4784000000004,14,5,0.0,0,0,1,0.0,0,0.0,7070.561161538464,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,62,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6645086262682844,96,937.2101999999999,32,6133.350961538465,4,-1861.3965,4,-817.7329000000001,2,61.287500000000364,0.0,23.19124615384616,0,0,130,130,1 + planning margin,debt,2,2.2737367544323206e-13
9,128,4,4,5186.142300000005,0.0,5246.597900000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,3,25.21443059337264,-0.04043935304859416,25.173991240324046,8.169168811179595,0.09707311250358953,8.266241923683186,634.5359999999996,650.0037999999998,634.5359999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,60.45559999999999,243.98319999999995,0.0,8,75.23389999999999,153.62169999999998,47.934599999999996,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011732710591334126,3.99350543933054,4.957312499999997,NaN,1.489684375,2.5865197674418634,3.072273968995767,256.0,239.0,128.0,503.0000000000001,258.0,0.0,61,6,6,11,6,5.0,506.0,2627.1861999999987,835.9094,1723.0466999999999,192,0,0,32,0.5381880342407788,0.68497775463808,0.5038003994849309,42,858.0016999999987,954.447799999999,11,5,0.0,0,0,6,0.0,0,0.0,6935.716838461541,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6719495338986041,96,751.3197000000001,32,6184.397138461539,4,-1742.0344,4,-839.1932999999999,2,60.45559999999978,0.0,22.994503846153844,0,0,128,128,1 + planning margin,debt,2,2.2737367544323206e-13
10,128,4,4,5137.884999999999,0.0,5197.349999999996,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,27,15,25.69520263570407,-0.3938943503812848,25.301308285322786,8.51510431154337,0.0,8.51510431154337,590.2178,634.536,590.2178,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,59.465,269.9607,0.0,8,105.34440000000001,153.60170000000002,78.3763,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011680274730203933,3.916878165938869,4.918481666666667,NaN,1.4941174999999995,2.5056016528925644,2.9801057499258943,240.0,229.0,120.0,491.33333333333337,242.0,0.0,63,7,6,18,6,2.0,505.0,2590.2053000000005,906.0346,1641.6451,192,0,0,32,0.581058982262429,0.716135211066065,0.5093318814272443,47,785.6497000000002,896.965100000001,13,7,0.0,0,0,7,0.0,0,0.0,6699.0269000000035,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,63,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7019557174796405,96,560.8471,32,6138.179799999999,4,-1597.8459999999998,4,-870.3549,2,59.465000000000146,0.0,22.345265625,0,0,120,120,1 + planning margin,debt,2,2.2737367544323206e-13
