round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6681.260999999991,0.0,489.65,189.65,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,32.119,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.02831461538462,1.016336153846154,24.044650769230774,3.982340769230769,0.9009515384615385,4.883292307692307,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,65.05899999999997,189.65,32.392699999999984,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,65.05899999999997,32.392699999999984,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,13.0,40.0,512.0,185.0,51.0,81,0,0,0,7,6.0,512.0,4302.015099999999,0.0,1273.1832,156,36,0,32,0.1791572699195667,0.4974418275542629,0.6595096003545091,11,1292.1389999999997,65.0,9,2,128.0,0,0,0,0.0,0,0.0,10452.015100000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,256.0,52.0,1019.4685,4,73.07100000000001,73.0716,NaN,1280.0,100.0,0.21440440755208337,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1440.0,0.0,568.6080000000002,0.0,568.6080000000002,0.0,73.07100000000001,1357.962,2292.6517,0.5307861342532691,96,3149.6047000000003,32,7302.410400000001,4,0.0,4,145.8,2,54.4752,-108.131,37.5,0,0,40,40,10 + responsive prices,sumsy,2,3.637978807091713e-12
2,128,4,4,7245.831600000001,0.0,3754.2631,507.0831000000001,248.381,,248.381,0.0,0.0,0.0,0.0,0.0,0.0025,37.074,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.143905384615383,1.6753284615384623,23.819233846153843,3.071492307692307,1.647078461538462,4.718570769230769,624.7427999999991,225.99999999999983,624.7427999999991,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.494,0.0,48,640.0,75.42940000000002,507.08310000000006,37.500000000000036,0.0,0.0,0.0,0.0,0.0,2,0.2394,640.0,75.42940000000002,37.500000000000036,82.0,0.0,0.0,0.015,4.797637735849046,5.515843636363628,2.168756962025317,NaN,3.486699999999987,3.802399999999999,220.0,265.0,110.0,512.0,324.0,51.0,46,0,0,2,10,7.0,512.0,4557.7492999999995,185.2932,1880.4395,82,110,0,17,0.13497019567174284,0.47650483582679226,0.39518969759247424,0,1749.3472000000017,1271.373999999997,10,0,79.0,0,0,0,0.0,0,0.0,10692.189200000012,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,171.33180000000004,51.0,585.0362,4,7.7023,7.702399999999999,NaN,1280.0,100.0,0.2129197200520833,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,12,0.0,0,0.0,1440.0,0.5601,2295.167502702703,0.0,2295.167502702703,0.0,7.7023,1501.7272000000003,2650.7689,0.4979245365910949,111,6831.378800000004,17,3860.8104,4,0.0,4,145.1825,2,113.985,-211.30700000000002,37.5,0,0,110,110,10 + responsive prices,sumsy,2,3.637978807091713e-12
3,128,4,4,7801.249699999999,0.0,4826.665310526316,379.2606,345.88069999999993,,345.88069999999993,0.0,0.0,0.0,0.0,0.0,0.0025,41.5284,0.0,0.0,1.0,134.5737,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.031727804619653,2.058147508734044,25.089875313353698,3.454377916514558,2.003010598103982,5.457388514618541,730.6881000000001,624.7427999999991,730.6881000000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-4.952599999999999,0.0,48,640.0,84.58190000000002,379.2606,42.03680000000002,0.0,0.0,0.0,0.0,0.0,4,27.561,640.0,84.58190000000002,42.03680000000002,82.0,0.0,0.0,0.015,4.820313207547168,5.358557142857143,2.0024625954198463,NaN,3.360956497364416,3.688327999999999,266.0,265.0,133.0,509.3333333333333,383.0,51.0,31,0,0,2,11,7.0,512.0,4847.773400000001,422.0044,2016.3047000000001,59,133,0,12,0.13853575733861656,0.4634019747402327,0.2782854528548657,1,1903.2129999999995,1277.3829999999996,11,0,131.0,0,0,0,0.0,0,0.0,11003.961815789473,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,262.32259999999985,64.0,446.0778,4,0.0,0.0,NaN,1280.0,100.0,0.223373007127193,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1440.0,0.5321,3069.880210909075,0.0,3069.880210909075,0.0,0.0,1741.1297,2884.3869,0.4858959813927741,116,8217.003405263158,12,2786.9584105263157,4,0.0,4,144.56499999999994,2,191.1606,-304.35229999999996,37.796052631578945,0,0,133,133,10 + responsive prices,sumsy,2,3.637978807091713e-12
4,128,4,4,8346.354199999992,0.0,4702.7683,109.8253,439.5621999999999,,439.5621999999999,0.0,0.0,0.0,0.0,0.0,0.0025,46.6158,0.0,0.0,1.0,135.20989999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.799748590230237,2.3174020784923317,25.117150668722573,3.892218354003701,2.1990511670525428,6.091269521056244,718.8961999999995,730.6881000000001,718.8961999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-12.004800000000001,0.0,48,640.0,94.89550000000004,109.8253,47.17049999999998,0.0,0.0,0.0,0.0,0.0,9,5.331099999999999,640.0,94.89550000000004,47.17049999999998,82.0,0.0,0.0,0.015,5.431829962546817,5.309819696969693,1.9327289655172402,NaN,3.2564920878522168,3.5776781599999983,264.0,267.0,132.0,509.3333333333333,381.00000000000006,51.0,31,0,0,1,14,5.0,512.0,5085.0964,471.4605,2213.2650000000003,59,133,0,12,0.14638679035170288,0.45749839289644467,0.2883050627170307,0,1852.6641999999997,1450.2986,14,0,145.0,0,0,0,0.0,0,0.0,11052.71937274436,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,280.24569999999983,64.0,524.5853999999999,4,0.0,0.0,NaN,1280.0,100.0,0.2594929703776041,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1440.0,0.5041,2519.937784759969,0.0,2519.937784759969,0.0,0.0,1962.4374999999998,3209.3109,0.4792197278599777,116,8278.735199999992,12,2773.984172744361,4,0.0,4,154.56350000000003,2,259.4933,-392.9463999999999,37.88874530075187,0,0,132,132,10 + responsive prices,sumsy,2,3.637978807091713e-12
5,128,4,4,8880.473499999995,0.0,4649.923754410579,105.7467,545.3089,,545.3089,0.0,0.0,0.0,0.0,0.0,0.0025,52.0129,0.0,0.0,1.0,152.3625,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.124875743021985,2.044886713992235,22.16976245701422,3.9476892816841564,1.9976020402334338,5.9452913219175905,761.381999999999,718.8961999999989,761.381999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-18.853100000000005,0.0,48,640.0,105.88069999999992,105.7467,52.631299999999975,0.0,0.0,0.0,0.0,0.0,12,5.4616,640.0,105.88069999999992,52.631299999999975,82.0,0.0,0.0,0.015,5.544002941176471,5.506533333333326,1.901999999999998,NaN,3.1670600270011287,3.4703478152,270.0,272.0,135.0,510.66666666666663,387.0,51.0,31,0,0,2,15,8.0,512.0,5317.791400000001,499.68230000000005,2494.2118,57,135,0,12,0.15317475215133491,0.4498312619635485,0.25906649338507126,0,1832.774799999999,1507.9688,15,0,98.0,0,0,0,0.0,0,0.0,11114.637405112106,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,186.3959999999998,64.0,511.3135,4,0.0,0.0,NaN,1280.0,100.0,0.2947148449416387,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1440.0,0.4761,2215.8195196634956,0.0,2215.8195196634956,0.0,0.0,2111.041,3505.2076,0.4726163032605306,116,8313.451699999996,12,2801.1857051121096,4,0.0,4,153.41520000000003,2,337.89840000000004,-493.296,37.968527205289995,0,0,135,135,10 + responsive prices,sumsy,2,3.637978807091713e-12
6,128,4,4,9404.388000000008,0.0,4515.094800000001,103.49629999999999,648.8052,,648.8052,0.0,0.0,0.0,0.0,0.0,0.0025,57.0213,0.0,0.0,1.0,155.5092,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,19.566586576363797,2.198810438559166,21.765397014922964,4.218336367946891,2.084295847296249,6.30263221524314,746.4975999999998,761.3819999999994,746.4975999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-25.328500000000002,0.0,48,640.0,116.08550000000002,103.4963,57.7022,0.0,0.0,0.0,0.0,0.0,15,5.3246,640.0,116.08550000000002,57.7022,82.0,0.0,0.0,0.015,5.495662825278809,5.436549253731342,1.7593020202020186,NaN,3.088709132034632,3.3662373807439985,268.0,269.0,134.0,509.33333333333337,385.00000000000006,51.0,30,0,0,1,13,9.0,512.0,5557.8518,573.0640999999999,2723.9568,57,135,0,12,0.1567671206053931,0.44237908430590234,0.25021025206596703,0,1791.8824999999993,1478.3332999999996,13,0,99.0,0,0,0,0.0,0,0.0,11176.916707925246,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,174.17089999999985,64.0,487.1694,4,2.3415,2.3416,NaN,1280.0,100.0,0.32899546517487666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1440.0,0.4481,1905.5271665044172,0.0,1905.5271665044172,0.0,2.3415,2268.9849999999997,3784.1903,0.466119434091248,116,8351.7605,12,2825.156207925245,4,0.0,4,152.26689999999996,2,416.19989999999996,-591.7839,38.03719663026746,0,0,134,134,10 + responsive prices,sumsy,2,3.637978807091713e-12
7,128,4,4,9916.120700000005,0.0,4373.9021,97.13250000000001,745.9377,,745.9377,0.0,0.0,0.0,0.0,0.0,0.0025,63.0054,0.0,0.0,1.0,154.1538,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.4210557830128,1.6670957526185848,22.088151535631386,5.458547843137842,1.6062827619142768,7.0648306050521175,736.4100999999997,746.4976000000011,736.4100999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-31.4306,0.0,48,640.0,128.26729999999998,97.1325,63.757799999999975,0.0,0.0,0.0,0.0,0.0,18,84.209,640.0,128.26729999999998,63.757799999999975,82.0,0.0,0.0,0.015,5.444696590909093,5.361269402985073,1.7268746478873236,NaN,3.0382190707768277,3.26525025932168,268.0,264.0,134.0,510.66666666666663,385.0,51.0,30,0,0,0,8,9.0,512.0,5666.365899999996,636.3884,2928.6233,57,135,0,12,0.18398659334614265,0.44816681369103994,0.24968243594506978,2,1768.5243999999993,1437.3999000000006,8,0,142.0,0,0,0,0.0,0,0.0,11182.263378964231,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,245.21619999999996,64.0,537.5287,4,1.3447,1.3448,NaN,1280.0,100.0,0.3657549991549833,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1440.0,0.4201,1472.8922203069428,0.0,1472.8922203069428,0.0,1.3447,2289.1452999999997,4102.5404,0.4726358881777031,116,8334.770799999998,12,2847.492578964229,4,0.0,4,151.11860000000001,2,492.0002,-682.9322999999999,38.09630138533735,0,0,134,134,10 + responsive prices,sumsy,2,3.637978807091713e-12
8,128,4,4,10416.550100000004,0.0,4225.294899999999,89.71799999999999,835.6557,,835.6557,0.0,0.0,0.0,0.0,0.0,0.0025,68.5858,0.0,0.0,1.0,152.7234,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.920102719570853,1.541397609134917,22.461500328705768,6.544405781150124,1.4419465634816349,7.986352344631759,725.6534999999997,736.4101000000004,725.6534999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-37.15920000000003,0.0,48,640.0,139.57059999999993,89.718,69.38569999999999,0.0,0.0,0.0,0.0,0.0,20,41.7348,640.0,139.57059999999993,69.38569999999999,82.0,0.0,0.0,0.015,5.358152059925092,5.361011363636361,1.6920414285714316,NaN,3.0761525967847674,3.167292751542029,264.0,267.0,132.0,512.0,381.0,51.0,32,0,0,2,12,10.0,512.0,5889.1174999999985,700.2514,3137.6913000000004,57,135,0,12,0.21741051410185785,0.4511766028838493,0.2775109401975473,1,1765.1781,1430.6265999999996,12,0,140.0,0,0,0,0.0,0,0.0,11204.245800465638,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,236.88580000000042,64.0,579.1693,4,9.4755,9.475200000000001,NaN,1280.0,100.0,0.4021961815410971,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,12,0.0,0,0.0,1440.0,0.3921,1024.4862340755585,0.0,1024.4862340755585,0.0,9.4755,2486.1934999999994,4417.111999999999,0.4767382478725004,116,8352.0374,12,2852.2084004656394,4,0.0,4,149.97029999999995,2,536.1599,-767.0699,38.14717369237964,0,0,132,132,10 + responsive prices,sumsy,2,3.637978807091713e-12
9,128,4,4,10904.8856,0.0,4068.707800000001,81.7101,917.3657000000001,,917.3657000000001,0.0,0.0,0.0,0.0,0.0,0.0025,74.5497,0.0,0.0,1.0,150.29580000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.89581706788001,1.0630458924566557,22.958862960336667,7.896833487024283,0.9232610462705376,8.82009453329482,717.9154999999993,725.6535000000016,717.9154999999993,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-42.511325000000056,0.0,48,640.0,151.66449999999998,81.7101,75.40509999999996,0.0,0.0,0.0,0.0,0.0,22,103.9099,640.0,151.66449999999998,75.40509999999996,82.0,0.0,0.0,0.015,5.311118846153846,5.262522556390972,1.6778193750000028,NaN,2.9772959929004963,3.0722739689957668,266.0,260.0,133.0,509.3333333333333,383.0,51.0,32,0,0,3,10,7.0,512.0,6032.092300000003,756.2085,3288.6848999999997,57,135,0,12,0.2530690673709104,0.460836845344762,0.26461083513694583,6,1728.4276000000007,1380.8908999999999,10,0,160.0,0,0,0,0.0,0,0.0,11218.040132186497,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,268.45110000000045,64.0,649.4403,4,22.755899999999997,22.75560000000001,NaN,1280.0,100.0,0.4361434458895022,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,12,0.0,0,0.0,1440.0,0.3921,930.1181293135473,0.0,930.1181293135473,0.0,22.755899999999997,2588.4367999999995,4694.333699999999,0.4860518996826879,116,8352.087500000003,12,2865.952632186497,4,0.0,4,158.51139999999998,2,595.2509,-842.816,38.190960213798185,0,0,133,133,10 + responsive prices,sumsy,2,3.637978807091713e-12
10,128,4,4,11386.388199999998,0.0,3910.1157,79.73310000000001,991.7932999999998,,991.7932999999998,0.0,0.0,0.0,0.0,0.0,0.0025,77.917,0.0,0.0,1.0,148.9773,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.098649423489096,1.7211700069860698,22.819819430475167,7.617323714712001,1.6914710640789943,9.308794778790997,704.3868000000007,717.9154999999988,704.3868000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-47.49405000000007,0.0,48,640.0,158.49740000000008,79.73310000000001,78.8048,0.0,0.0,0.0,0.0,0.0,24,138.0867,640.0,158.49740000000008,78.8048,82.0,0.0,0.0,0.015,5.194332713754647,5.199900000000005,1.787019375000002,NaN,2.994556212514308,2.9801057499258943,264.0,269.0,132.0,508.0,381.0,51.0,31,0,0,1,13,8.0,512.0,6273.9238,783.7768,3383.9165000000003,56,136,0,12,0.2348058682191836,0.4453270326826262,0.2861540258176618,0,1727.1216000000015,1397.2755,13,0,160.0,0,0,0,0.0,0,0.0,11214.816882305078,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,285.9231000000003,64.0,728.7674,4,49.8131,49.813599999999994,NaN,1280.0,100.0,0.46763697357874107,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1440.0,5.6695,764.2318409230264,0.0,764.2318409230264,0.0,49.8131,2799.6585,4896.4607000000005,0.4695598420161753,116,8361.6504,12,2853.1664823050723,4,0.0,4,237.09609999999998,2,626.3435999999999,-913.8762999999998,38.228647898304864,0,0,132,132,10 + responsive prices,sumsy,2,3.637978807091713e-12
