round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6674.821599999997,0.0,140.25,140.25,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,35.1264,420.75,0.0,1.0,140.25,233.24950000000007,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.2835426122321112,0.0,168.0,0.0,0.0,1.0,0,0,0,1.0,48,7.82442307692308,1.4515538461538458,9.275976923076925,3.66045923076923,0.9985392307692307,4.658998461538461,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,71.49839999999989,140.25,35.54169999999994,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,71.49839999999989,35.54169999999994,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,18.0,40.0,512.0,185.0,51.0,81,0,0,0,14,4.0,512.0,3667.2672000000016,729.7116,1230.0131999999999,192,0,0,32,0.22467161480625153,0.2835426122321112,0.6574623174054322,4,1325.7339999999997,90.0,14,0,111.0,0,0,0,0.0,0,0.0,5827.267199999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,222.0,52.0,958.2280000000001,4,82.431,82.43119999999999,NaN,1280.0,100.0,0.18997088541666665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,82.431,812.6206,2917.9528,0.3455056649909418,96,3130.0226000000002,32,2697.2445999999995,4,0.0,4,140.25,2,54.4752,-105.12360000000001,11.925,11.25,0,0,40,40,"N10 step 10, market entry",sumsy,1,3.637978807091713e-12
2,128,4,4,7236.459000000006,0.0,245.3736,105.1236,245.3736,,245.3736,0.0,0.0,0.0,0.0,0.0,0.0025,38.4604,420.75,0.0,1.0,140.25,230.4391666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.2601265016690135,0.0,241.0,0.0,0.0,1.0,0,0,0,0.2662442150231399,48,7.645876153846155,2.19724,9.843116153846154,3.228347692307692,1.2263661538461537,4.454713846153846,638.4872000000006,225.99999999999983,638.4872000000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,78.36260000000001,105.1236,38.9397,0.0,0.0,0.0,0.0,0.0,1,110.3332,640.0,78.36260000000001,38.9397,82.0,0.0,0.0,0.015,4.78977358490565,5.491037168141598,2.112049090909091,1.1319699115044242,3.5375300970873647,10.594024107142857,226.0,265.0,113.0,512.0,309.0,51.0,50,0,0,1,8,6.0,512.0,4109.091199999997,388.6842,1825.7432,192,0,0,32,0.1692234830417001,0.2601265016690135,0.40471209338150826,4,1846.8152000000014,1269.2899999999975,8,0,55.0,0,0,0,0.0,0,0.0,6269.091200000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,116.16270000000002,30.0,764.1468,4,51.5566,51.55680000000001,NaN,1280.0,100.0,0.1939175911458333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,0,12,0.0,0,0.0,1200.0,0.0,2241.700113513514,0.0,2241.700113513514,0.0,51.5566,1077.5370999999998,2978.5741999999996,0.3190892366257383,96,3401.5124999999975,32,2867.5786999999996,4,0.0,4,140.25,2,110.3332,-206.91320000000002,12.640500000000001,11.25,0,0,113,113,"N10 step 10, market entry",sumsy,1,3.637978807091713e-12
3,128,4,4,7792.527400000002,0.0,690.9408000000001,445.5672,341.2663,,341.2663,0.0,0.0,0.0,0.0,0.0,0.0025,41.1502,414.85310000000004,0.0,1.0,134.35309999999998,224.12703333333337,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.2766965622992945,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2594716469652934,48,9.31551179126794,2.780960903642684,12.096472694910625,2.839508716865947,2.1810224765268575,5.020531193392805,739.0609000000005,638.4872000000003,739.0609000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,83.93159999999996,445.5672,41.6935,0.0,0.0,0.0,0.0,0.0,2,29.5905,640.0,83.93159999999996,41.6935,82.0,0.0,0.0,0.015,4.81232454873646,5.421510526315793,1.87407857142857,1.3335689393939383,3.5283902381192727,10.27620338392857,266.0,277.0,133.0,510.66666666666663,374.0,51.0,33,0,0,1,14,14.0,512.0,4689.7008000000005,601.8726,2003.4509999999998,191,1,0,32,0.1261690367992132,0.2766965622992945,0.32559657003414544,0,2115.3880999999988,1333.0138999999995,14,0,84.0,0,0,0,0.0,0,0.0,6907.2178,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,157.42259999999987,55.0,426.7623,4,0.0,0.0,NaN,1280.0,100.0,0.1753685807291667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,0,12,0.0,0,0.0,1200.0,0.0,3017.1354082738953,0.0,3017.1354082738953,0.0,0.0,1562.0577,3032.0858999999996,0.32007551661013034,96,3616.2118999999984,32,3291.0058999999997,4,0.0,4,140.24999999999994,2,140.8214,-300.1161,13.398930000000002,11.25,0,0,133,133,"N10 step 10, market entry",sumsy,1,3.637978807091713e-12
4,128,4,4,8338.4923,0.0,794.74,121.28299999999999,435.10159999999996,,435.10159999999996,0.0,0.0,0.0,0.0,0.0,0.0025,46.1313,412.3789499999999,0.0,1.0,134.98549999999997,218.81799999999996,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.2896798591710541,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2569197599207505,48,10.26930306347374,2.839341077446323,13.108644140920063,3.025448162128059,2.5358167250226678,5.561264887150727,746.5389999999998,739.0608999999998,746.5389999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-3.4968000000000004,0.0,48,640.0,94.0351000000001,121.283,46.721900000000005,0.0,0.0,0.0,0.0,0.0,4,2.2165999999999997,640.0,94.0351000000001,46.721900000000005,82.0,0.0,0.0,0.015,5.4593125954198465,5.436858208955222,1.8152633027522915,1.433857894736843,3.308629879459882,9.967917282410712,268.0,262.0,134.0,510.6666666666667,385.0,51.0,31,0,0,1,14,7.0,512.0,5047.127599999999,685.8618,2176.4732,191,1,0,32,0.12163414679173146,0.2896798591710541,0.32566069163942135,0,2077.9929999999986,1430.3398999999997,14,0,109.0,0,0,0,0.0,0,0.0,7278.709600000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,197.86369999999977,64.0,380.6818,4,0.0,0.0,NaN,1280.0,100.0,0.18845236979166669,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,0.0,2986.801822382108,0.0,2986.801822382108,0.0,0.0,1887.6837999999993,3243.0167999999994,0.3311894337048009,96,3690.534900000002,32,3588.174700000001,4,0.0,4,140.25,2,205.3055,-388.97029999999995,14.202865800000003,11.25,0,0,134,134,"N10 step 10, market entry",sumsy,1,3.637978807091713e-12
5,128,4,4,8874.4209,0.0,882.8865,107.0027,542.1042,,542.1042,0.0,0.0,0.0,0.0,0.0,0.0025,51.0576,421.78349999999995,0.0,1.0,153.13390000000004,221.24855999999997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.2938539034405805,0.0,262.0,0.0,0.0,1.0,0,0,0,0.26134886087398945,48,9.39539531827365,2.8266414426819386,12.222036760955588,2.9103058220368037,2.5637991092456156,5.474104931282419,767.3975999999991,746.5389999999989,767.3975999999991,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.093024999999999,0.0,48,640.0,104.0714,107.0027,51.709400000000045,0.0,0.0,0.0,0.0,0.0,7,2.7784,640.0,104.0714,51.709400000000045,82.0,0.0,0.0,0.015,5.6062443609022585,5.551093333333327,1.761880808080808,1.5629462686567166,3.207747592510401,9.66887976393839,270.0,266.0,135.0,510.6666666666667,387.0,51.0,30,0,0,2,12,7.0,512.0,5334.7274,738.0699000000001,2420.1269,191,1,0,32,0.12159069241991616,0.2938539034405805,0.29701838903976796,0,2059.3442999999993,1491.2610000000009,12,0,99.0,0,0,0,0.0,0,0.0,7591.620299999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,174.4262,64.0,327.6607,4,0.0,0.0,NaN,1280.0,100.0,0.205489921875,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.0,2612.0296612140874,0.0,2612.0296612140874,0.0,0.0,2145.7436000000007,3485.8575,0.33707206711856474,96,3774.0259999999985,32,3817.594299999999,4,0.0,4,140.24990000000003,2,282.53920000000005,-491.0466,15.055037748000004,11.25,0,0,135,135,"N10 step 10, market entry",sumsy,1,3.637978807091713e-12
6,128,4,4,9398.4115,0.0,970.2275000000001,106.1971,648.3013000000001,,648.3013000000001,0.0,0.0,0.0,0.0,0.0,0.0025,56.911,430.11359999999996,0.0,1.0,157.25469999999999,222.39766666666662,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.29441399861797235,0.0,258.0,0.0,0.0,1.0,0,0,0,0.2618215994052378,48,10.004623046690524,2.5756739740084695,12.580297020698994,3.7985233302554,2.0609285801644472,5.859451910419847,761.8637999999994,767.3975999999993,761.8637999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-10.500525,0.0,48,640.0,116.0094,106.1971,57.64019999999999,0.0,0.0,0.0,0.0,0.0,10,79.1136,640.0,116.0094,57.64019999999999,82.0,0.0,0.0,0.015,5.570961423220973,5.592960902255634,1.7101131313131341,1.741459848484849,3.1410460948389254,9.378813371020238,266.0,267.0,133.0,509.33333333333337,383.0,51.0,31,0,0,1,11,8.0,512.0,5528.254200000001,799.8528,2657.7829,191,1,0,32,0.13824937915074553,0.29441399861797235,0.28464430626235204,0,2036.236499999998,1487.4467,11,0,99.0,0,0,0,0.0,0,0.0,7887.830799999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,169.30120000000028,64.0,276.497,4,0.0,0.0,NaN,1280.0,100.0,0.2228812825520833,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,0.0,2280.0392177793246,0.0,2280.0392177793246,0.0,0.0,2136.915700000001,3734.1327,0.3409527995481858,96,3931.4513999999986,32,3956.3794000000003,4,0.0,4,140.24990000000003,2,357.3679,-591.3903,15.958340012880004,11.25,0,0,133,133,"N10 step 10, market entry",sumsy,1,3.637978807091713e-12
7,128,4,4,9910.5229,0.0,1050.7255,99.3543,747.6555000000001,,747.6555000000001,0.0,0.0,0.0,0.0,0.0,0.0025,62.7797,435.6396,0.0,1.0,156.26520000000002,221.52807619047618,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.31552522855229315,0.0,260.0,0.0,0.0,1.0,0,0,0,0.2594560506648419,48,11.346969753863867,2.213263879536762,13.560233633400628,5.2944044728046125,1.6238130751172462,6.918217547921858,754.7641999999989,761.8637999999999,754.7641999999989,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-13.719650000000007,0.0,48,640.0,127.88859999999997,99.3543,63.55590000000002,0.0,0.0,0.0,0.0,0.0,13,21.456699999999998,640.0,127.88859999999997,63.55590000000002,82.0,0.0,0.0,0.015,5.469908058608059,5.5395804511278115,1.6482008196721323,1.925605303030304,3.179367801361245,9.097448969889632,266.0,273.0,133.0,510.66666666666663,382.99999999999994,51.0,31,0,0,1,16,10.0,512.0,5818.335200000002,837.3517,2905.8550999999998,191,1,0,32,0.18031240732959142,0.31552522855229315,0.3428965444432366,2,2067.8457999999996,1493.2849,16,0,122.0,0,0,0,0.0,0,0.0,8174.398400000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,201.08050000000014,64.0,264.7445,4,0.0,0.0,NaN,1280.0,100.0,0.24193563151041667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,0.0,2028.1182134359892,0.0,2028.1182134359892,0.0,0.0,2352.448,4007.9513,0.35983308499623434,96,3996.7598999999996,32,4177.638499999999,4,0.0,4,140.24979999999994,2,397.5588,-684.8758,16.915840413652806,11.25,0,0,133,133,"N10 step 10, market entry",sumsy,1,3.637978807091713e-12
8,128,4,4,10411.846300000005,0.0,1289.6763,257.807,838.3067000000001,,838.3067000000001,0.0,0.0,0.0,0.0,0.0,0.0025,68.1325,438.7212375,0.0,1.0,153.43089999999998,219.17771666666664,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.34587963416700784,0.0,262.0,0.0,0.0,1.0,0,0,0,0.25294545454545453,48,13.574384399119014,1.938390055373894,15.512774454492908,6.735333994202979,1.4713297509403598,8.20666374514334,764.1779999999998,754.7641999999989,764.1779999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-16.750150000000005,0.0,48,640.0,138.67659999999987,257.807,68.93589999999998,0.0,0.0,0.0,0.0,0.0,15,88.9752,640.0,138.67659999999987,68.93589999999998,82.0,0.0,0.0,0.015,5.439857454545454,5.527244444444443,1.6354576158940421,1.9546127819548864,3.0557290810782574,8.824525500792943,270.0,275.0,135.0,510.6666666666667,387.00000000000006,51.0,30,0,0,1,16,14.0,512.0,6147.025799999998,811.6872,2995.7832999999996,190,2,0,32,0.2144887242664575,0.34587963416700784,0.3158514302053623,4,2031.1869000000008,1495.9607999999998,16,0,151.0,0,0,0,0.0,0,0.0,8580.476799999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,246.95410000000038,64.0,300.2423,4,0.0,0.0,NaN,1280.0,100.0,0.23950802083333333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.0,2101.413967398005,0.0,2101.413967398005,0.0,0.0,2680.9802999999997,4107.7128,0.38548445173629653,96,3982.537400000001,32,4597.9394,4,0.0,4,305.90559999999994,2,463.5708,-770.1742000000002,17.930790838471975,11.25,0,0,135,135,"N10 step 10, market entry",sumsy,1,3.637978807091713e-12
9,128,4,4,10901.823099999998,0.0,1346.9181999999998,84.4558,922.7623999999998,,922.7623999999998,0.0,0.0,0.0,0.0,0.0,0.0025,73.7307,440.8371666666667,0.0,1.0,152.58820000000003,216.05645555555554,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.3508922180064049,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2550842025522988,48,14.55777116619633,1.7597838099459866,16.31755497614232,7.727662896802357,1.0212689833748423,8.7489318801772,765.432,764.1780000000002,765.432,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-21.263775000000006,0.0,48,640.0,150.02319999999995,84.4558,74.58460000000002,0.0,0.0,0.0,0.0,0.0,16,126.4349,640.0,150.02319999999995,74.58460000000002,82.0,0.0,0.0,0.015,5.40365305343511,5.536533333333334,1.6023630872483232,1.9427368421052646,3.083835146253208,8.559789735769153,270.0,262.0,135.0,510.6666666666667,387.00000000000006,51.0,30,0,0,0,12,8.0,512.0,6356.677300000001,849.3623,3165.7915,190,2,0,32,0.22967941460450536,0.3508922180064049,0.31384812656750616,7,2034.8534000000004,1415.757099999999,12,0,149.0,0,0,0,0.0,0,0.0,8870.995800000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,238.75210000000015,64.0,329.8264,4,3.4763,3.4764,NaN,1280.0,100.0,0.25672684895833325,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.0,1751.096816328827,0.0,1751.096816328827,0.0,3.4763,2731.168099999999,4344.980200000001,0.3902527286618276,96,4108.694699999999,32,4762.3011000000015,4,0.0,4,297.6227,2,499.524,-849.0316999999999,19.006638288780294,11.25,0,0,135,135,"N10 step 10, market entry",sumsy,1,3.637978807091713e-12
10,128,4,4,11381.965499999995,0.0,1731.0432,411.33900000000006,1000.6036999999999,,1000.6036999999999,0.0,0.0,0.0,0.0,0.0,0.0025,78.6976,442.22505,0.0,1.0,151.57200000000003,212.7000466666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,3,0.9791666666666666,0.39723487991402884,0.0,260.0,0.0,0.0,1.0,0,0,0,0.2559138053643548,48,17.743372117890967,1.1949886090575204,18.93836072694849,10.026192438497565,1.0140426413759607,11.040235079873526,753.0508000000001,765.4320000000014,753.0508000000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-25.505000000000003,0.0,48,640.0,159.85759999999988,411.33900000000006,79.51839999999996,0.0,0.0,0.0,0.0,0.0,17,147.35219999999998,640.0,159.85759999999988,79.51839999999996,82.0,0.0,0.0,0.015,5.330693406593403,5.485453731343284,1.576168124999997,1.9444923076923075,3.0756622549321007,8.302996043696078,268.0,273.0,134.0,512.0,385.0,51.0,31,0,0,2,15,12.0,512.0,6948.080600000003,772.8525,3060.6098,188,4,0,32,0.2799958829637068,0.39723487991402884,0.35818040662764306,7,2007.6742999999988,1455.279299999999,15,0,160.0,0,0,0,0.0,0,0.0,9505.587899999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,252.18689999999953,64.0,374.37280000000004,4,0.1075,0.1076,NaN,1280.0,100.0,0.23007551432291665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,10.054400000000001,1870.3313161945114,0.0,1870.3313161945114,0.0,0.1075,3367.8819000000008,4207.8351,0.42006684867220945,96,4052.5389999999998,32,5453.0489,4,0.0,4,619.8373999999999,2,518.9348,-921.9060999999999,20.147036586107113,11.25,0,0,134,134,"N10 step 10, market entry",sumsy,1,3.637978807091713e-12
