round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6675.233599999995,0.0,140.25,140.25,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,34.8934,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.29006901364424653,0.0,168.0,0.0,0.0,1.0,0,0,0,1.0,48,8.101813846153846,1.307796923076923,9.409610769230769,3.6303946153846147,1.028603846153846,4.658998461538461,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,71.08639999999987,140.25,35.32669999999994,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,71.08639999999987,35.32669999999994,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,10.0,40.0,512.0,185.0,51.0,81,0,0,0,7,3.0,512.0,3685.3722000000007,729.7116,1317.5315999999998,192,0,0,32,0.21891449279871944,0.29006901364424653,0.655811148512645,4,1325.8039999999996,50.0,7,0,121.0,0,0,0,0.0,0,0.0,5845.372199999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,242.0,52.0,853.2496,4,80.43099999999998,80.43120000000002,NaN,1280.0,100.0,0.18883416666666666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1200.0,0.0,4.586399999999998,0.0,4.586399999999998,0.0,80.43099999999998,826.6205999999999,2900.4928,0.34343421722557177,96,3107.7428,32,2737.6293999999994,4,0.0,4,0.0,2,54.4752,-105.3566,11.925,11.25,0,0,40,40,"N8 step 8, market entry",sumsy,8,-3.637978807091713e-12
2,128,4,4,7237.018700000008,0.0,245.60660000000001,105.3566,245.60660000000001,,245.60660000000001,0.0,0.0,0.0,0.0,0.0,0.0025,38.3383,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.2791564883937725,0.0,238.0,0.0,0.0,1.0,0,0,0,0.25559008264462807,48,7.934616153846153,1.9242015384615385,9.858817692307692,2.9115015384615384,1.4306061538461536,4.342107692307692,622.2692,225.99999999999983,622.2692,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,78.2149,105.3566,38.8498,0.0,0.0,0.0,0.0,0.0,2,110.3332,640.0,78.2149,38.8498,82.0,0.0,0.0,0.015,4.79298181818181,5.493356363636363,2.1121,1.1364700000000005,3.5211326732673145,8.95195625,220.0,275.0,110.0,512.0,303.0,51.0,51,0,0,1,16,7.0,512.0,4049.0285999999955,401.8786,1968.3332,192,0,0,32,0.16276283526374669,0.2791564883937725,0.42679634350887863,2,1819.152900000002,1318.0699999999977,16,0,51.0,0,0,0,0.0,0,0.0,6209.028600000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,107.71709999999999,30.0,669.1068,4,40.6699,40.66960000000002,NaN,1280.0,100.0,0.19787230468749997,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,51,0.0,0,12,0.0,0,0.0,1200.0,0.0,1967.611443243244,0.0,1967.611443243244,0.0,40.6699,1102.4541000000002,3039.3186,0.32852460461002764,96,3279.4432999999976,32,2929.5853,4,0.0,4,0.0,2,110.3332,-207.2683,12.640500000000001,11.25,0,0,110,110,"N8 step 8, market entry",sumsy,8,-3.637978807091713e-12
3,128,4,4,7792.146500000002,0.0,695.8547,450.24809999999997,341.7119,,341.7119,0.0,0.0,0.0,0.0,0.0,0.0025,41.5981,0.0,0.0,1.0,134.4436,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.28850310729377604,0.0,264.0,0.0,0.0,1.0,0,0,0,0.2581031410113611,48,9.798991576261582,2.3297709909185444,12.128762567180125,2.93315401131375,1.9153678075928067,4.848521818906557,756.1572000000003,622.269200000001,756.1572000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,84.87219999999996,450.24809999999997,42.15669999999998,0.0,0.0,0.0,0.0,0.0,3,17.46,640.0,84.87219999999996,42.15669999999998,82.0,0.0,0.0,0.015,4.813538805970145,5.427626470588238,1.8733642857142838,1.3379859259259261,3.49315622340427,8.6833975625,272.0,268.0,136.0,510.6666666666667,376.0,51.0,33,0,0,1,13,7.0,512.0,4585.0280999999995,586.1412,2105.5840000000003,191,1,0,32,0.13221826938612402,0.28850310729377604,0.3212120776461551,0,2115.0101999999993,1290.028399999999,13,0,84.0,0,0,0,0.0,0,0.0,6895.4214,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,157.36259999999984,51.0,456.3351,4,0.5883,0.5884,NaN,1280.0,100.0,0.18262809244791667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,0,12,0.0,0,0.0,1200.0,0.0,2969.9019425022398,0.0,2969.9019425022398,0.0,0.5883,1437.7129,3148.0602999999996,0.3322166116447105,96,3573.030900000001,32,3322.3904999999995,4,0.0,4,0.0,2,141.1966,-300.1138,13.398930000000002,11.25,0,0,136,136,"N8 step 8, market entry",sumsy,8,-3.637978807091713e-12
4,128,4,4,8337.149699999993,0.0,814.9578000000001,136.8102,435.13380000000006,,435.13380000000006,0.0,0.0,0.0,0.0,0.0,0.0025,46.5665,0.0,0.0,1.0,135.01999999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.30067110419802456,0.0,261.0,0.0,0.0,1.0,0,0,0,0.25683307581650594,48,10.77431446172337,2.411141479222773,13.185455940946142,3.103177513825995,2.222683457678441,5.3258609715044365,745.3515999999983,756.1572000000004,745.3515999999983,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-3.541500000000001,0.0,48,640.0,94.99679999999998,136.8102,47.18760000000001,0.0,0.0,0.0,0.0,0.0,8,5.9184,640.0,94.99679999999998,47.18760000000001,82.0,0.0,0.0,0.015,5.420828102189782,5.42799701492536,1.8069098039215663,1.4453533834586465,3.275434190928472,8.422895635624998,268.0,274.0,134.0,510.66666666666663,385.0,51.0,31,0,0,1,14,12.0,512.0,4881.892499999998,702.2717,2304.3447,191,1,0,32,0.12798000644089336,0.30067110419802456,0.3145341962347241,0,2069.180999999998,1485.3069000000003,14,0,102.0,0,0,0,0.0,0,0.0,7217.961199999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,184.30479999999977,64.0,396.1559,4,0.0,0.0,NaN,1280.0,100.0,0.19753895182291667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,0.0,2796.1874819093478,0.0,2796.1874819093478,0.0,0.0,1700.6613999999997,3402.7723,0.34213895450516807,96,3648.4498,32,3569.5114000000003,4,0.0,4,8.177299999999946,2,211.7914,-388.56730000000005,14.202865800000003,11.25,0,0,134,134,"N8 step 8, market entry",sumsy,8,-3.637978807091713e-12
5,128,4,4,8871.973899999997,0.0,900.5686000000001,105.48740000000001,540.6212,,540.6212,0.0,0.0,0.0,0.0,0.0,0.0025,51.5719,0.0,0.0,1.0,152.0539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.30528883387287253,0.0,261.0,0.0,0.0,1.0,0,0,0,0.25743227731864093,48,10.088540215027406,2.2830594963754103,12.371599711402816,3.0666546473946266,2.198063257550963,5.26471790494559,772.9661999999998,745.3515999999994,772.9661999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.339499999999999,0.0,48,640.0,105.17579999999998,105.4874,52.249100000000034,0.0,0.0,0.0,0.0,0.0,11,6.8921,640.0,105.17579999999998,52.249100000000034,82.0,0.0,0.0,0.015,5.581000378787877,5.592342222222221,1.7622419753086442,1.5792813432835828,3.189959762962333,8.170208766556248,270.0,264.0,135.0,510.66666666666663,387.0,51.0,30,0,0,2,16,6.0,512.0,5221.309599999997,750.0389,2527.5398,191,1,0,32,0.1289624879862521,0.30528883387287253,0.27526637135651977,0,2055.8471999999997,1473.3840999999995,16,0,81.0,0,0,0,0.0,0,0.0,7577.581199999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,142.74160000000018,64.0,314.62160000000006,4,0.0,0.0,NaN,1280.0,100.0,0.21116555338541668,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.0,2473.491670655852,0.0,2473.491670655852,0.0,0.0,1963.3159999999996,3592.2002999999995,0.3492157522306545,96,3761.1457000000005,32,3816.435499999999,4,0.0,4,7.768400000000042,2,287.3932,-489.0493,15.055037748000004,11.25,0,0,135,135,"N8 step 8, market entry",sumsy,8,-3.637978807091713e-12
6,128,4,4,9394.466200000004,0.0,985.6672,104.97519999999999,645.5964,,645.5964,0.0,0.0,0.0,0.0,0.0,0.0025,57.6303,0.0,0.0,1.0,156.5471,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.3211883420831436,0.0,262.0,0.0,0.0,1.0,0,0,0,0.2551766061726676,48,11.012113844688463,1.9024787483871577,12.91459259307562,4.398580738774719,1.6727818527533895,6.071362591528108,775.1824999999985,772.9661999999996,775.1824999999985,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-10.938700000000004,0.0,48,640.0,117.5077,104.9752,58.379599999999975,0.0,0.0,0.0,0.0,0.0,14,6.902,640.0,117.5077,58.379599999999975,82.0,0.0,0.0,0.015,5.54299644128114,5.608759259259249,1.7041321839080472,1.7293194029850731,3.1265024822351375,7.925102503559561,270.0,281.0,135.0,509.33333333333337,387.00000000000006,51.0,30,0,0,2,18,15.0,512.0,5458.1023000000005,808.3348,2818.678,191,1,0,32,0.1653194836429226,0.3211883420831436,0.32429503089630574,2,2044.9006999999983,1557.5820000000003,18,0,87.0,0,0,0,0.0,0,0.0,7833.3417,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,148.25950000000012,64.0,244.8188,4,0.0,0.0,NaN,1280.0,100.0,0.23066476562499996,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.0,2229.0156265181076,0.0,2229.0156265181076,0.0,0.0,2137.7838000000006,3871.8316000000004,0.36731217121923443,96,3797.3022,32,4036.0395,4,0.0,4,7.3595000000000255,2,362.7541,-587.9661,15.958340012880004,11.25,0,0,135,135,"N8 step 8, market entry",sumsy,8,-3.637978807091713e-12
7,128,4,4,9905.427200000002,0.0,1063.6414,97.85079999999999,743.4472000000001,,743.4472000000001,0.0,0.0,0.0,0.0,0.0,0.0025,63.3054,0.0,0.0,1.0,155.4811,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.33463274409688015,0.0,262.0,0.0,0.0,1.0,0,0,0,0.25481068108545735,48,12.227943292379319,1.6045438353511055,13.832487127730424,5.498895410667599,1.3606470107562183,6.859542421423817,763.0739000000012,775.1824999999998,763.0739000000012,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-14.33920000000001,0.0,48,640.0,129.03900000000002,97.8508,64.11510000000001,0.0,0.0,0.0,0.0,0.0,17,87.0924,640.0,129.03900000000002,64.11510000000001,82.0,0.0,0.0,0.015,5.478596958174904,5.519065925925935,1.6619905797101469,1.9306798507462677,3.0674360469714306,7.687349428452774,270.0,263.0,135.0,509.33333333333337,387.0,51.0,30,0,0,0,11,11.0,512.0,5651.590399999999,847.4001,2992.5378000000005,191,1,0,32,0.19244882268007202,0.33463274409688015,0.31371208262291805,3,2043.9823,1440.8709999999999,11,0,138.0,0,0,0,0.0,0,0.0,8121.328699999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,229.35470000000026,64.0,263.50109999999995,4,0.0,0.0,NaN,1280.0,100.0,0.24703742187500002,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.0,2001.2383454085575,0.0,2001.2383454085575,0.0,0.0,2251.8607000000006,4103.439,0.3825787877952582,96,3859.4361999999996,32,4261.892499999999,4,0.0,4,6.9506000000000085,2,435.64,-680.1418000000001,16.915840413652806,11.25,0,0,135,135,"N8 step 8, market entry",sumsy,8,-3.637978807091713e-12
8,128,4,4,10404.590900000012,0.0,1301.6742,257.9094,833.8163000000001,,833.8163000000001,0.0,0.0,0.0,0.0,0.0,0.0025,69.1721,0.0,0.0,1.0,153.67449999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.36980832915754625,0.0,261.0,0.0,0.0,1.0,0,0,0,0.254196353097452,48,14.366436513854364,1.4238338023427393,15.790270316197102,7.279598913007907,0.9824209560638082,8.262019869071715,755.5867999999998,763.0739000000005,755.5867999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-17.540900000000008,0.0,48,640.0,140.83630000000002,257.9094,70.0028,0.0,0.0,0.0,0.0,0.0,19,128.2939,640.0,140.83630000000002,70.0028,82.0,0.0,0.0,0.015,5.444991941391939,5.504379104477611,1.6366250000000027,1.947711363636363,3.1224286874722074,7.456728945599191,268.0,273.0,134.0,512.0,385.0,51.0,31,0,0,1,13,16.0,512.0,5992.1027,835.0864,3065.4437,190,2,0,32,0.2418893090786387,0.36980832915754625,0.3523646723812679,5,2048.7802000000006,1486.4827999999995,13,0,160.0,0,0,0,0.0,0,0.0,8539.108200000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,261.8600000000004,64.0,314.4921,4,0.0,0.0,NaN,1280.0,100.0,0.24542085286458337,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,0.0,1834.9419050057702,0.0,1834.9419050057702,0.0,0.0,2549.263300000001,4215.0222,0.4109541693508654,96,3850.931199999998,32,4688.177,4,0.0,4,172.582,2,469.53700000000003,-764.6442000000001,17.930790838471975,11.25,0,0,134,134,"N8 step 8, market entry",sumsy,8,-3.637978807091713e-12
9,128,4,4,10893.301499999994,0.0,1368.5923000000003,95.1717,917.3764000000001,,917.3764000000001,0.0,0.0,0.0,0.0,0.0,0.0025,74.332,0.0,0.0,1.0,152.73219999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.3839274051285646,0.0,259.0,0.0,0.0,1.0,0,0,0,0.2552662721893491,48,15.675525071665819,1.2507993365278096,16.92632440819363,8.094655619291393,1.066188623238695,9.160844242530088,751.3942000000003,755.5867999999999,751.3942000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-22.219400000000004,0.0,48,640.0,151.28939999999986,95.1717,75.20709999999993,0.0,0.0,0.0,0.0,0.0,20,148.6748,640.0,151.28939999999986,75.20709999999993,82.0,0.0,0.0,0.015,5.386490769230771,5.51424210526316,1.6599065789473668,1.9424419847328243,3.1371212113734606,7.233027077231216,266.0,260.0,133.0,510.6666666666667,382.99999999999994,51.0,31,0,0,1,13,8.0,512.0,6223.666699999999,871.7805,3223.5891,190,2,0,32,0.25959750757238464,0.3839274051285646,0.34798279581501035,5,2040.3118000000013,1400.4876000000004,13,0,152.0,0,0,0,0.0,0,0.0,8839.1938,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,252.30579999999975,64.0,351.25839999999994,4,5.1779,5.178,NaN,1280.0,100.0,0.26233878255208326,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,11.6116,1617.9604973749608,0.0,1617.9604973749608,0.0,5.1779,2702.2295999999997,4446.628,0.4211640022012928,96,3897.7837000000004,32,4941.410100000001,4,0.0,4,171.22950000000003,2,486.86659999999995,-843.0444000000001,19.006638288780294,11.25,0,0,133,133,"N8 step 8, market entry",sumsy,8,-3.637978807091713e-12
10,128,4,4,11371.504500000003,0.0,1581.8370000000004,242.07899999999998,994.1357000000002,,994.1357000000002,0.0,0.0,0.0,0.0,0.0,0.0025,79.5871,0.0,0.0,1.0,151.09130000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0.984375,0.4156933175337225,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2586233500259507,48,17.977072413922116,0.9829098094120932,18.95998222333421,9.90278957128931,0.8370306170508041,10.739820188340113,756.3290000000004,751.3941999999998,756.3290000000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-26.731424999999998,0.0,48,640.0,161.7970000000001,242.07899999999998,80.46120000000002,0.0,0.0,0.0,0.0,0.0,21,162.9783,640.0,161.7970000000001,80.46120000000002,82.0,0.0,0.0,0.015,5.319948689138578,5.4691037037037065,1.6229856250000005,1.9227848484848489,3.1099282499834393,7.016036264914278,270.0,267.0,135.0,510.66666666666663,387.0,51.0,30,0,0,1,12,8.0,512.0,6654.688300000004,827.9277,3248.6272,189,3,0,32,0.3017309929593175,0.4156933175337225,0.3706972136926614,6,2032.0401000000004,1420.4263000000003,13,1,160.0,0,0,0,0.0,0,0.0,9330.298299999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,259.6777000000001,64.0,397.69589999999994,4,4.6606,4.6604,NaN,1280.0,100.0,0.2561139778645833,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,13.611199999999998,1703.315751947646,0.0,1703.315751947646,0.0,4.6606,3152.3935000000006,4474.2508,0.4427263414040541,96,3862.1442999999995,32,5468.154,4,0.0,4,327.47030000000007,2,493.6529,-914.5486000000002,20.147036586107113,11.25,0,0,135,135,"N8 step 8, market entry",sumsy,8,-3.637978807091713e-12
