round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6015.068,0.0,6036.397599999999,0.0,949.0739999999997,,0.0,0.0,949.0739999999997,0.0,949.0739999999997,0.0,0.00375,0.0,0.0,0.0,1.0,975.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.3182547364630768,0.0,128.0,0.0,0.0,1.0,0,0,0,0.510204081632653,48,10.111938461538461,1.410246153846154,11.522184615384615,2.6902307692307694,1.410246153846154,4.100476923076924,302.5124000000007,0.0,302.5124000000007,0.0,0,0,0.0,0.0,12.846400000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,21.3296,21.3296,0.0,4,1.176,92.428,157.40599999999998,25.926299999999998,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,810.0,162.89399999999986,0.005,5.0,5.199999999999997,2.0,0.75,3.73124324324325,3.9200000000000013,80.0,35.0,40.0,512.0,185.0,51.0,81,0,0,0,20,15.0,512.0,4401.576000000001,0.0,1042.9548,188,4,0,32,0.12111553197082148,0.3182547364630768,0.08581367302437792,1,1256.7939999999996,175.0,20,0,8.0,0,0,0,0.0,0,0.0,6781.194,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,16.0,52.0,570.5372,4,0.0,0.0,NaN,1280.0,100.0,-0.2849433333333334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1200.0,0.0,652.828,0.0,652.828,0.0,0.0,1421.2259999999999,1613.4919999999997,0.34876610599708835,96,3296.572,32,3484.622,4,0.0,4,441.72,2,20.15360000000003,0.0,11.925,11.25,0,0,40,40,"N8 step 8, market entry",debt,7,-1.4551915228366852e-11
2,128,4,4,5952.5672,0.0,5999.417600000001,0.0,1435.1304000000007,,0.0,63.9076,1371.2228000000007,0.0,422.1488000000002,3.558580000000001,0.00375,0.0,0.0,0.0,1.0,565.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.3309630720340542,0.0,92.0,0.0,0.0,1.0,0,0,0,0.2635798816568047,48,10.727596153846154,1.114863076923077,11.842459230769231,3.2781907692307697,1.114863076923077,4.393053846153847,898.629100000006,264.68239999999975,936.4591000000062,0.0,0,0,0.0,0.0,71.9935,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,46.85039999999999,60.710600000000014,0.0,16,79.2238,141.7246,722.1623999999998,82.50289999999987,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,400.0,462.7384000000016,0.003662440143685384,4.910715384615388,5.539483760683756,1.85,1.1242380530973453,3.5189743589743463,3.802399999999999,234.0,260.0,117.0,512.0,351.0,51.0,40,0,0,0,12,7.0,512.0,3961.2578000000008,2.1796,1681.2878,188,4,0,32,0.15052937699485236,0.3309630720340542,0.27661409826570105,5,1258.0183000000009,1276.786000000001,12,0,1.0,0,0,0,0.0,0,0.0,6761.568600000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1.85,64.0,307.842,4,0.0,0.0,NaN,1280.0,100.0,-0.2536866796875,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0.0,0,12,0.0,0,0.0,1200.0,1.456,3432.872059459465,0.0,3432.872059459465,0.0,0.0,1249.8382000000001,1991.3094,0.35541914804665553,96,3288.2362000000003,32,3473.332399999999,4,0.0,4,441.72,2,45.73320000000027,-63.9076,12.640500000000001,11.25,0,0,117,117,"N8 step 8, market entry",debt,7,-1.4551915228366852e-11
3,128,4,4,6556.735699999998,0.0,6614.613100000001,0.0,1675.5555000000004,,0.0,60.7122,1614.8433000000005,0.0,243.62050000000002,5.140986250000011,0.00375,0.0,0.0,0.0,1.0,550.4466769230771,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.32082448451120404,0.0,254.0,0.0,0.0,1.0,0,0,0,0.26397497704315886,48,11.374321147005052,1.6853724899865747,13.059693636991627,3.129345089936761,1.7926058086476502,4.921950898584411,997.1020000000077,936.4591000000073,997.1020000000077,0.0,0,0,0.0,0.0,81.39240000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.87739999999998,90.70300000000005,0.0,18,739.7795000000002,135.611,954.2447,315.4829999999998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,388.39259999999996,0.0,0.007024546303286879,5.5557348484848506,5.470357462686565,1.7836,1.3472276923076916,3.4864826429980447,3.688327999999999,268.0,264.0,134.0,512.0,351.0,51.0,39,0,0,1,10,6.0,512.0,4293.828199999998,145.142,1945.4724999999999,188,4,0,32,0.1399083482048722,0.32082448451120404,0.20673276033831955,0,2040.2010000000007,1466.7140000000006,11,1,15.0,0,0,0,0.0,0,0.0,7310.8718,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,26.754,30.0,172.293,4,0.0,0.0,NaN,1280.0,100.0,-0.2745176627604166,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,39,0.0,0,12,0.0,0,0.0,1200.0,28.343700000000002,3561.8717460630673,0.0,3561.8717460630673,0.0,0.0,1611.5913000000003,2262.9075,0.34408009666388284,96,3504.185,32,3806.6868000000004,4,0.0,4,441.72,2,56.81900000000031,-60.7122,13.398930000000002,11.25,0,0,134,134,"N8 step 8, market entry",debt,7,-1.4551915228366852e-11
4,128,4,4,6437.471999999997,0.0,6500.0874,0.0,2039.5970000000004,,0.0,57.5168,1982.0802000000003,0.0,367.2369,6.05408712500001,0.00375,0.0,0.0,0.0,1.0,525.0260317016318,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.3607527786502369,0.0,127.0,0.0,0.0,1.0,0,0,0,0.2587429111531191,48,10.615024501132352,1.0239045711916355,11.638929072323988,2.755015318911211,0.9291438601474502,3.684159179058661,1032.402599999997,869.0957000000046,1160.4088999999954,0.0,0,0,0.0,0.0,90.4972,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,62.615399999999994,120.67120000000003,0.0,26,35.03330000000001,154.29700000000003,538.3646000000001,167.34369999999979,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,341.6872,400.5551999999995,0.008061309594707279,5.701622826086957,5.635186466165415,1.7362727272727276,1.4407217054263568,3.509540456989242,3.5776781599999983,266.0,276.0,133.0,510.6666666666667,372.0,51.0,34,0,0,0,18,8.0,512.0,3544.812700000001,653.412,2227.0758,188,4,0,32,0.1686677115814197,0.3607527786502369,0.3025079610408299,5,1208.8322,1573.6479,19,1,11.0,0,0,0,0.0,0,0.0,6930.2848,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,19.099000000000004,53.0,12.1715,4,0.0,0.0,NaN,1280.0,100.0,-0.2263515364583333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,12,0.0,0,0.0,1200.0,27.152099999999997,3164.121066191838,0.0,3164.121066191838,0.0,0.0,1236.5271,2892.6592999999993,0.3791666831140357,96,3182.1922000000013,32,3748.0926,4,0.0,4,441.72,2,61.61579999999968,-57.5168,14.202865800000003,11.25,0,0,133,133,"N8 step 8, market entry",debt,7,-1.4551915228366852e-11
5,128,4,4,6449.7562999999955,0.0,6509.489199999999,0.0,2460.344800000001,,0.0,160.6495,2299.695300000001,0.0,317.6151,7.431112500000011,0.00375,0.0,0.0,0.0,1.0,659.8946198996657,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.3480374650967981,0.0,101.0,0.0,0.0,1.0,0,0,0,0.2627546421489093,48,10.899627576253776,1.325590207411611,12.225217783665387,2.311962552350253,1.4591554194165426,3.7711179717667958,1029.2505000000033,963.9686999999982,1225.690699999988,0.0,0,0,0.0,0.0,79.85249999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,59.73289999999999,145.53850000000014,0.0,38,150.0361,137.7518,548.2954000000001,246.86560000000034,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,471.73980000000034,31.205500000000004,0.00957108423542105,5.745900000000002,5.663555147058828,NaN,1.5743507575757572,3.5366119213555205,3.4703478152,272.0,258.0,136.0,512.0,340.0,51.0,42,2,2,3,13,4.0,510.0,3794.2622999999994,269.70660000000004,2384.877,188,4,0,32,0.11945898980316971,0.3480374650967981,0.21152225971926386,0,2039.8201999999983,1482.4422000000004,14,1,0.0,0,0,2,0.0,0,0.0,7492.3642,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,15.0,0.9104,4,0.0,0.0,NaN,1280.0,100.0,-0.23536897786458333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,0,12,0.0,0,0.0,1200.0,32.1374,3253.190867477181,0.0,3253.190867477181,0.0,0.0,1416.0706,2655.4939999999992,0.36729785474259025,96,3431.882300000001,32,4060.4819,4,0.0,4,441.72,2,58.79209999999998,-160.6495,15.055037748000004,11.25,0,0,136,136,"N8 step 8, market entry",debt,7,-1.4551915228366852e-11
6,128,4,4,6629.8947999999955,0.0,6686.6714999999995,0.0,2998.1481000000013,,0.0,445.2283,2552.919800000001,0.0,253.2245,8.62174537500001,0.00375,0.0,0.0,0.0,1.0,679.6238724080271,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.60426221465593,0.0,101.0,1.0,0.0,1.0,0,0,0,0.2600255102040816,48,40.929645486346786,1.1861072845252867,42.11575277087207,1.9430235873873942,1.024470291190909,2.967493878578303,1017.9710000000008,888.8850000000027,1354.7766999999988,47.426700000000004,0,0,0.0,0.0,89.7065,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,56.77669999999999,170.39750000000012,0.0,59,320.9058,140.76729999999998,1084.0201,151.24730000000008,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,490.00920000000036,431.4066000000001,0.009647326668191944,5.707729285714287,5.687921212121217,1.7129999999999999,1.7279259842519692,3.5787519191919177,3.3662373807439985,264.0,280.0,132.0,506.00000000000006,330.0,51.0,43,0,0,1,19,10.0,512.0,3287.701,691.4236,2649.8598,187,5,0,32,0.14192291351540143,0.60426221465593,0.24765731235259847,4,1280.177600000001,1598.1642000000004,19,0,5.0,0,0,0,0.0,0,0.0,18079.900900000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,8.565,13.0,0.9104,4,0.0,0.0,NaN,1280.0,100.0,-0.16417611328124995,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,43,0.0,0,12,0.0,0,0.0,1200.0,30.258799999999997,2462.9414448817333,0.0,2462.9414448817333,0.0,0.0,1210.2875000000001,3342.193799999999,0.615345001588832,96,3118.3951000000006,32,14961.5058,4,0.0,4,441.72,2,55.89469999999989,-445.2283,15.958340012880004,69.2727,0,0,132,132,"N8 step 8, market entry",debt,7,-1.4551915228366852e-11
7,128,1,4,15112.661700000004,0.6978,12285.3654,0.0,12313.966000000002,,0.0,9611.6718,2702.294200000002,0.0,149.3743999999999,9.570822750000012,0.00375,0.0,0.0,0.0,1.0,702.8960192546581,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.6048902578482731,0.0,105.0,0.0,0.0,1.0,1,0,0,0.25723951481154855,24,42.17872539196968,1.2179927829308534,43.396718174900535,2.301611099496823,1.1995825248455985,3.501193624342421,1009.0640999999977,959.2164000000002,123.00460000000002,0.0,7,0,501.7135999999997,8841.937499999998,47.0882,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,46.385499999999986,183.53370000000012,2807.8494000000005,80,9312.0833,828.6185999999999,10017.7153,240.8154999999999,0.0,0.0,0.0,0.0,0.0,2,8837.724600000001,0.0,0.0,0.0,0.0,514.5418000000003,19.150399999999998,0.008079514984964335,5.706754372623575,5.734604411764699,NaN,1.9248206106870223,3.579571630481982,3.2652502593216792,272.0,263.0,136.0,510.6666666666667,329.0,51.0,45,0,0,3,12,8.0,512.0,3442.6875999999997,17.8684,2814.1685,187,0,5,32,0.15293672558323346,0.6048902578482731,0.15817877143510928,0,1860.5865000000008,1500.8764,12,0,0.0,0,0,0,0.0,0,0.0,18287.194399999986,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0,0.2126,1,0.0,0.0,NaN,1280.0,100.0,0.03733143229166666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,6,0.0,0,0.0,659.2004,93.4422,1118.4897304366514,0.0,1118.4897304366514,0.0,0.0,696.2471000000002,2832.2495,0.6850784146013249,96,3153.858299999999,32,15133.3361,1,0.0,4,441.72,2,6355.2708,-9611.6718,16.915840413652806,69.2727,0,7,10,136,"N8 step 8, market entry",debt,7,-1.4551915228366852e-11
8,128,1,4,15946.102699999996,0.6978,12814.759302068263,0.0,12923.484600000003,,0.0,10022.9076,2900.5770000000025,0.0,198.28279999999998,10.130798000000015,0.00375,0.0,0.0,0.0,1.0,702.2360315754667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.96875,0.46683754208814165,5.0,238.0,6.0,0.0,1.0,2,0,0,0.25050040168298365,22,15.527065623138352,0.6572737768413174,16.18433939997967,2.8759362094143026,0.36369521014009387,3.2396314195543963,1011.1436000000007,118.90950000000002,1007.5875000000007,0.0,8,0,509.3647999999996,8841.937499999998,80.9596,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,105.91569999999999,243.06390000000016,3262.7457000000004,84,1418.5724,585.1313999999999,1573.3869,150.9086,0.0,0.0,0.0,0.0,0.0,1,8812.6615,0.0,0.0,0.0,0.0,513.9125000000003,621.8963999999997,0.002303192491091138,5.66600332103321,5.684600000000003,1.7515,2.029591269841271,3.5690870194338835,3.167292751542029,264.0,271.0,132.0,508.00000000000006,324.0,51.0,45,0,0,1,16,8.0,512.0,2945.9844000000007,0.0,3640.0106,186,6,0,32,0.22755310213540136,0.46683754208814165,0.30035156143870245,13,1104.1899999999998,1535.4868999999999,17,1,1.0,0,0,0,0.0,0,0.0,7512.535916939425,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1.7515,0.0,547.4462,1,0.0,0.0,NaN,1280.0,100.0,0.2794997708871943,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,6,0.0,0,0.0,1117.6136,616.5746,2239.1094145877996,0.0,2239.1094145877996,0.0,0.0,622.9425999999999,4187.4568,0.6701817007043247,96,2792.6944000000003,32,4719.841516939422,1,0.0,4,588.9421,2,5679.855902068264,-10022.9076,17.930790838471975,16.915840413652806,0,8,132,132,"N8 step 8, market entry",debt,7,-1.4551915228366852e-11
9,128,1,4,16279.83420000001,1.3956,13207.684299999999,0.0,13390.638200000003,,0.0,9659.86,3730.7782000000025,0.0,830.2011999999997,10.874020125000015,0.00375,0.0064,0.0,0.0,1.0,699.1538196502485,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.96875,0.4495258245128859,0.0,241.0,0.0,0.0,1.0,2,0,0,0.2508782836241669,22,16.779241506526326,1.3379652208239416,18.11720672735027,2.9730161237705532,1.343574248463017,4.31659037223357,1084.8536000000008,1007.5875000000004,1084.8536000000008,0.0,8,0,509.3647999999996,8841.937499999998,74.0073,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,168.64059999999998,305.97030000000007,3262.7457000000004,84,977.5006000000001,643.0713000000001,224.7198,292.99830000000003,0.0,0.0,0.0,0.0,0.0,0,8765.5087,0.0,0.0,0.0,0.0,512.1763000000001,0.0,0.00892124477268432,5.646638403041822,6.130687407407412,NaN,2.0606666666666666,3.640324825998261,19.615244430669147,270.0,263.0,135.0,510.6666666666667,328.0,51.0,45,1,1,0,11,6.0,511.0,3618.7975000000024,142.2476,3699.5456,186,6,0,32,0.17912282865544404,0.4495258245128859,0.2515201902827908,0,2374.9494000000027,1485.0658999999994,18,7,0.0,0,0,1,0.0,0,0.0,8407.87281693942,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,5.0,53.7284,1,0.0213,0.0148,NaN,1280.0,100.0,0.1491724664689996,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,6,0.0,0,0.0,1117.6136,606.2723,2173.414750027161,0.0,2173.414750027161,0.0,0.0213,823.2088000000001,3895.5216,0.6529126275098196,96,3113.3696,32,5294.5032169394235,1,0.0,4,688.964,2,5691.257599999999,-9659.8536,19.006638288780294,16.915840413652806,0,8,135,135,"N8 step 8, market entry",debt,7,-1.4551915228366852e-11
10,128,1,4,16688.6945,2.0934,13679.9273,0.0,13973.049700000005,,0.0,9754.2221,4218.827600000004,0.0,488.04939999999993,13.986880250000011,0.00375,0.0,0.0,0.0,1.0,674.961884333656,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.96875,0.45481955370566385,0.0,120.0,0.0,0.0,1.0,2,0,0,0.25100591715976334,22,17.389705087019298,1.2857397931478491,18.675444880167145,1.9652264382548748,1.3887725039417704,3.3539989421966454,1065.8353000000009,942.4996999999995,1208.1891999999991,0.0,8,0,509.3647999999996,8841.937499999998,73.6857,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,235.55449999999993,373.0562000000002,3262.7457000000004,85,1104.547,694.9889000000001,772.2716,154.83430000000004,0.0,0.0,0.0,0.0,0.0,0,8689.6705,0.0,0.0,0.0,0.0,488.6238,0.0,0.01462822219524876,5.704173461538463,6.004055970149256,1.6984705882352942,2.091628124999999,3.7077358080129956,19.02678709774907,268.0,260.0,134.0,511.0,337.0,51.0,43,0,0,2,8,4.0,512.0,3402.965600000001,779.8155,3781.8275000000003,186,6,0,32,0.12899958357278152,0.45481955370566385,0.14799029702754662,0,1778.2753000000023,1483.0851000000005,9,1,17.0,0,0,0,0.0,0,0.0,8680.223916939418,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,28.874000000000002,16.0,34.4154,1,0.0,0.0,NaN,1280.0,100.0,0.1891918414689996,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,43,0.0,0,6,0.0,0,0.0,1117.6136,595.97,1798.4226895282973,0.0,1798.4226895282973,0.0,0.0,735.1701,4596.0584,0.6510788038736577,96,3194.1091,32,5486.114816939421,1,0.0,4,704.0787,2,5678.163100000001,-9754.2221,20.147036586107113,16.915840413652806,0,8,134,134,"N8 step 8, market entry",debt,7,-1.4551915228366852e-11
